@relation data

@attribute id string
@attribute 3265 numeric
@attribute 7529 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 5604 numeric
@attribute 3845 numeric
@attribute 8660 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
E07,0.4924,2.3524,0.549,1.6164,0.5015,0.9497,0.53,3.2242,1.5248,0.1394,0.9315,0.8202,1.6611,BRCACancer
E08,0.44,2.5947,0.4537,1.5775,0.5719,1.2605,0.4196,3.3712,1.5424,0.1007,1.0385,0.8492,1.6571,Control
E09,0.5062,2.4199,0.5003,1.3763,0.4291,1.1727,0.401,2.8247,1.58,0.1237,1.0574,0.746,1.6549,BRCACancer
E10,0.4806,2.3947,0.4118,1.7278,0.716,1.3867,0.572,3.279,1.6937,0.2172,0.9538,1.0442,1.7701,BRCACancer
E11,0.3396,2.1775,0.295,1.3781,0.396,1.0665,0.2996,3.0258,1.4043,0.1995,0.8246,0.6349,1.55,Control
E12,0.229,2.208,0.2091,1.1409,0.3852,0.8377,0.2593,2.9956,1.2328,-0.0062,0.6269,0.4624,1.556,BRCACancer
F01,0.4216,2.4005,0.4823,1.6954,0.6658,1.3062,0.5288,2.5807,1.6285,0.3248,1.1495,0.9725,1.6642,Control
F02,0.5442,2.4537,0.5629,1.76,0.5733,1.2233,0.4663,3.0554,1.5597,0.2817,1.1244,0.9537,1.6709,Control
F03,0.3421,2.2943,0.3796,1.4986,0.4068,1.1208,0.3844,2.9145,1.4034,0.1846,0.9896,0.7459,1.6849,Control
F04,0.3442,2.568,0.444,1.6153,0.6629,1.3494,0.3942,2.4958,1.6381,0.1419,0.8957,0.9993,1.7386,Control
F05,0.4091,2.3092,0.336,1.7225,0.5032,1.2494,0.2811,3.1131,1.5204,0.3112,1.0389,0.7674,1.6335,Control
F06,0.2289,2.0808,0.285,1.3846,0.4567,1.1544,0.5155,2.7113,1.3718,0.244,0.9283,0.5529,1.5332,Control
F07,0.315,2.2155,0.3569,1.5742,0.6142,1.1571,0.4368,2.7477,1.5144,0.2926,0.9602,1.0511,1.6839,Control
F09,0.5778,2.3431,0.4945,1.8764,0.5687,1.359,0.6601,3.2633,1.6337,0.3229,1.2834,0.9554,1.6678,Control
F10,0.4617,2.3503,0.4417,1.8181,0.6452,1.3575,0.5323,3.2515,1.6802,0.3122,1.1925,1.1063,1.7383,Control
F11,0.4515,2.4742,0.465,1.5663,0.477,1.2841,0.461,2.9982,1.5843,0.1996,1.149,0.6273,1.6828,Control
F12,0.3044,2.3839,0.3979,1.7097,0.8108,1.2741,0.4566,2.7964,1.6701,0.0921,0.9435,1.0339,1.8407,Control
G01,0.3887,2.2839,0.5004,1.4342,0.5973,1.1093,0.3444,3.0068,1.568,0.1134,0.9751,0.7574,1.6518,Control
G02,0.3398,2.4736,0.3914,1.3918,0.429,0.9937,0.4601,2.9303,1.4315,0.2018,0.9399,0.7523,1.5544,Control
G03,0.4167,2.4861,0.477,1.7819,0.5932,1.2466,0.5424,3.2729,1.6594,0.3362,1.0885,1.1191,1.7279,Control
G04,0.514,2.3748,0.4211,1.7006,0.4511,1.0731,0.4789,3.8605,1.4917,0.2727,1.1581,0.9435,1.5103,BRCACancer
G05,0.2383,1.817,0.2283,1.1057,0.3815,0.663,0.1944,2.307,1.1635,0.1081,0.6913,0.5356,1.2078,BRCACancer
