@relation data

@attribute id string
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 7702 numeric
@attribute 5435 numeric
@attribute 6621 numeric
@attribute 661 numeric
@attribute 171568 numeric
@attribute 55290 numeric
@attribute 6619 numeric
@attribute 6908 numeric
@attribute 11178 numeric
@attribute 55814 numeric
@attribute 55703 numeric
@attribute 5440 numeric
@attribute 11128 numeric
@attribute 10621 numeric
@attribute 5451 numeric
@attribute 10302 numeric
@attribute 55718 numeric
@attribute 6618 numeric
@attribute 5441 numeric
@attribute 6617 numeric
@attribute Class {Control,BRCACancer}

@data
D06,0.9856,1.0805,0.752,0.6526,0.2201,0.6068,0.5762,0.6707,1.3811,1.086,-0.0631,0.9798,0.3364,0.8725,0.6727,0.6424,0.4147,0.7479,0.6756,0.597,0.9889,0.3832,BRCACancer
D07,0.9298,1.1236,0.6436,0.5082,0.2008,0.6072,0.4795,0.5799,1.2077,1.0635,0.0052,0.825,0.2357,0.83,0.5971,0.4874,0.327,0.6507,0.9177,0.6073,1.0055,0.4238,Control
D08,0.5765,0.836,0.3632,0.4327,0.1253,0.4628,0.2751,0.4534,0.9141,0.7543,-0.0586,0.5904,0.1329,0.5707,0.3176,0.4293,0.2405,0.4184,0.7018,0.3837,0.4783,0.2778,Control
D09,0.9054,0.8928,0.6308,0.4761,0.1076,0.6774,0.459,0.5332,1.2274,1.0007,-0.1025,0.8779,0.2698,0.7744,0.5305,0.6469,0.3917,0.7196,0.9224,0.4881,0.8945,0.461,Control
D10,0.6916,0.9457,0.5051,0.75,0.0887,0.3978,0.323,0.6359,1.1165,0.7109,-0.0546,0.7586,0.2549,0.607,0.4764,0.5522,0.3084,0.6666,0.7743,0.6592,0.9824,0.3995,Control
D11,0.4061,0.5415,0.1256,0.3802,0.0139,0.2936,0.1765,0.16,0.3805,0.5362,0.0108,0.3942,0.0134,0.4476,0.0613,0.4072,0.1559,0.3033,0.5068,0.1874,0.396,0.3754,Control
D12,0.505,0.8795,0.4226,0.4696,0.0919,0.4177,0.3424,0.3427,0.8453,0.6735,0.0407,0.6444,0.1478,0.4855,0.4122,0.4107,0.2176,0.5559,0.6769,0.457,0.7306,0.2303,Control
E01,0.6284,0.7826,0.2377,0.4323,0.1056,0.538,0.2793,0.2861,0.8214,0.8207,-0.1179,0.5826,0.1694,0.7204,0.321,0.4684,0.2647,0.4725,0.6313,0.3548,0.7334,0.325,BRCACancer
E02,0.9626,1.0439,0.57,0.7492,0.1573,0.7364,0.5177,0.6262,1.1048,1.1074,-0.0244,1.0469,0.2743,0.9236,0.5564,0.6031,0.4537,0.6834,0.8858,0.5624,0.8666,0.4359,Control
E03,0.9179,1.1504,0.6613,0.7021,0.1856,0.5773,0.5682,0.6161,1.2779,0.8454,0.0627,0.8176,0.3079,0.8011,0.5932,0.5124,0.2718,0.612,0.8477,0.7897,1.1028,0.5236,Control
E04,1.0116,1.1432,0.6424,0.6564,0.3005,0.7937,0.5967,0.5775,1.2008,1.1428,0.0874,1.03,0.3277,0.774,0.6738,0.5905,0.3964,0.756,1.0913,0.6446,0.8518,0.5043,Control
E05,0.9062,0.7787,0.4955,0.5928,0.0324,0.744,0.3555,0.4323,0.9642,1.0211,-0.0753,1.0603,0.2803,0.8876,0.4934,0.4001,0.4192,0.6366,0.8988,0.3179,0.595,0.3545,Control
E06,0.7455,0.5692,0.2511,0.5577,0.0047,0.405,0.0842,0.2462,0.9617,0.9075,-0.2596,0.7616,0.1119,0.7839,0.2841,0.4893,0.3837,0.3738,0.5259,0.1247,0.3451,0.194,BRCACancer
E07,0.7896,1.0848,0.4613,0.5931,0.1949,0.6638,0.4457,0.4372,1.2081,0.9685,-0.0199,0.9746,0.2185,0.796,0.5333,0.4465,0.3566,0.6024,0.8899,0.5052,0.9751,0.2614,BRCACancer
E08,0.9805,1.1495,0.5319,0.6153,0.2165,0.6578,0.4627,0.5801,1.256,1.0031,-0.0218,0.9346,0.3228,0.8338,0.6406,0.5144,0.3245,0.7311,0.977,0.6409,1.0726,0.4442,Control
E09,0.8803,1.0582,0.4513,0.7259,0.1689,0.5692,0.45,0.6804,0.9903,0.8654,-0.0038,0.7589,0.3315,0.6609,0.5371,0.421,0.4175,0.6654,0.8668,0.681,1.2052,0.5523,BRCACancer
E10,0.9534,1.0035,0.6246,0.5109,0.1446,0.6999,0.4855,0.5617,1.3265,1.0539,-0.1135,1.0677,0.3456,0.791,0.6582,0.6066,0.5271,0.7468,0.9298,0.5193,0.8165,0.4772,BRCACancer
E11,0.7213,0.8756,0.4404,0.5281,0.0885,0.5068,0.3035,0.4676,0.9417,0.76,-0.021,0.7464,0.241,0.779,0.4356,0.3859,0.2671,0.5429,0.7513,0.3852,0.8023,0.3012,Control
E12,0.5923,0.721,0.3571,0.447,0.0223,0.4986,0.167,0.3736,0.6995,0.5453,-0.1323,0.5926,0.1609,0.4987,0.3133,0.3583,0.2691,0.4406,0.537,0.2904,0.843,0.3334,BRCACancer
F01,1.0581,1.0429,0.8798,0.6529,0.2203,0.6755,0.568,0.6411,1.3015,1.2063,-0.0308,1.0672,0.4629,0.878,0.7939,0.6193,0.5052,0.8229,1.1856,0.616,0.9005,0.5092,Control
F02,1.1264,1.1254,0.8578,0.6728,0.2591,0.7831,0.6047,0.7705,1.4481,1.2481,-0.0209,1.1023,0.4228,0.8926,0.7528,0.6406,0.4118,0.857,1.0907,0.6469,0.7766,0.5081,Control
F03,0.9368,1.0952,0.7777,0.7388,0.1354,0.5267,0.4882,0.6147,1.3367,0.993,-0.0693,0.9337,0.3558,0.8446,0.7111,0.5017,0.3155,0.7817,0.8068,0.523,0.9893,0.4301,Control
F04,0.8503,0.9028,0.7867,0.5556,0.1692,0.4332,0.4247,0.4855,1.4459,1.0033,-0.1024,0.9183,0.3522,0.6737,0.6835,0.605,0.4633,0.7179,1.0501,0.3,0.6893,0.5836,Control
F05,1.0487,1.1122,0.7634,0.596,0.1885,0.5776,0.4498,0.5481,1.17,1.1816,-0.0927,0.9072,0.3163,0.8493,0.5703,0.4965,0.3617,0.7474,0.9678,0.6787,0.8784,0.516,Control
F06,0.7011,1.0107,0.5588,0.5492,0.0252,0.348,0.2725,0.5109,1.0621,0.8315,-0.1159,0.708,0.173,0.653,0.4543,0.4131,0.3232,0.4788,0.6245,0.4278,0.8648,0.2207,Control
F07,0.9775,0.964,0.7085,0.6226,0.2019,0.7127,0.4922,0.5656,1.3535,1.202,-0.061,1.1472,0.3575,0.9072,0.7507,0.4682,0.5527,0.6681,1.0691,0.4912,0.7382,0.4665,Control
F09,1.1092,1.3134,1.0623,0.8285,0.2854,0.764,0.732,0.8648,1.3797,1.3,0.0251,1.1291,0.4881,1.1857,0.7353,0.7863,0.4626,0.8793,1.1202,0.7965,1.0615,0.5191,Control
F10,1.1026,1.1825,0.85,0.7611,0.2261,0.7648,0.6223,0.7663,1.4583,1.1684,-0.0202,1.1635,0.4279,1.0455,0.7889,0.5976,0.5111,0.8774,1.0072,0.7395,1.044,0.6064,Control
F11,0.9277,1.2293,0.7117,0.6992,0.1687,0.5196,0.5634,0.6667,1.4256,0.857,0.0148,0.7191,0.3255,0.9328,0.5539,0.5196,0.3106,0.7976,0.8834,0.7249,0.9777,0.5235,Control
F12,0.8777,0.8454,0.9271,0.62,0.1624,0.4422,0.3908,0.5376,1.4451,1.0452,-0.1549,1.0822,0.4427,0.76,0.6922,0.459,0.5398,0.703,0.8784,0.4156,0.669,0.3841,Control
G01,0.7446,1.0059,0.6251,0.5952,0.1082,0.4807,0.5524,0.4403,1.4954,0.9873,-0.0735,0.9228,0.301,0.8456,0.5275,0.5329,0.4086,0.733,0.7589,0.622,1.0393,0.4773,Control
G02,0.8621,0.9681,0.5471,0.4773,0.1386,0.4317,0.2758,0.4094,1.2828,0.859,-0.072,0.7675,0.1793,0.7461,0.4408,0.3963,0.2607,0.5719,0.7447,0.3944,0.8761,0.3808,Control
G03,1.0919,1.0227,0.8016,0.7153,0.2088,0.7739,0.5245,0.691,1.4249,1.4128,-0.0635,1.1547,0.4218,1.0756,0.7633,0.6823,0.487,0.8952,1.0243,0.5365,0.8187,0.5657,Control
G04,0.9188,1.2177,0.7022,0.5329,0.2491,0.7457,0.4954,0.466,1.2311,1.1608,0.019,1.004,0.2833,1.0492,0.5637,0.4387,0.4249,0.6817,0.9557,0.6457,1.0175,0.3373,BRCACancer
G05,0.4874,0.6098,0.3041,0.4439,0.0926,0.2826,0.2847,0.2791,0.826,0.6518,-0.0994,0.6515,0.0793,0.548,0.3314,0.2446,0.2789,0.3819,0.6881,0.1296,0.5648,0.2931,BRCACancer
G06,0.7775,0.9191,0.6645,0.4684,0.15,0.6061,0.3317,0.4485,1.1099,1.1495,-0.0784,0.9634,0.2495,1.0626,0.4559,0.4808,0.4802,0.6111,0.6883,0.3745,0.8157,0.4725,BRCACancer
G07,0.747,0.7974,0.6222,0.4352,0.1222,0.4293,0.5528,0.5522,1.1471,0.936,-0.0486,0.7837,0.2952,0.892,0.5603,0.5438,0.2887,0.6568,0.9222,0.4283,0.733,0.4666,Control
G08,0.8934,1.0444,0.7506,0.6234,0.1338,0.545,0.4792,0.6192,1.4441,1.1523,-0.1238,1.0725,0.3857,0.9458,0.7563,0.696,0.4522,0.7901,0.9488,0.5331,0.767,0.5487,Control
G09,0.7236,0.8348,0.3285,0.4781,0.1575,0.4081,0.2925,0.3011,1.1278,0.8583,0.0092,0.8041,0.1952,0.6794,0.44,0.3803,0.272,0.4234,0.6387,0.3637,0.7986,0.3622,Control
G10,0.7205,0.695,0.2847,0.354,0.0662,0.4787,0.1897,0.3038,0.9704,0.905,-0.1371,0.8684,0.104,0.7422,0.3253,0.3312,0.3984,0.4372,0.6307,0.2135,0.3788,0.3274,BRCACancer
G11,0.4256,0.4932,0.1821,0.25,0.0092,0.104,0.1862,0.2617,0.582,0.5205,-0.0594,0.3889,0.1398,0.2465,0.2476,0.2556,0.333,0.2983,0.4533,0.1309,0.368,0.2827,BRCACancer
G12,0.7543,0.9324,0.2944,0.4652,0.1881,0.4409,0.2951,0.3619,1.233,1.0165,-0.0222,0.8475,0.1893,0.7482,0.4139,0.3702,0.4199,0.4361,0.624,0.2514,0.4488,0.2417,BRCACancer
H01,0.6341,0.7412,0.3619,0.3521,0.0016,0.3417,0.3009,0.3399,1.0645,0.8405,-0.0875,0.7132,0.1563,0.811,0.3698,0.4753,0.3366,0.4741,0.6402,0.2497,0.363,0.3657,Control
H02,0.6682,0.9974,0.5162,0.4717,0.1514,0.5533,0.4149,0.3932,1.2647,0.7408,0.0473,0.5814,0.2235,0.5776,0.4562,0.4607,0.2641,0.4836,0.8319,0.3787,0.8461,0.3253,Control
H03,0.6275,0.7213,0.51,0.4535,0.0867,0.3727,0.269,0.4003,1.0955,0.8828,-0.1283,0.7178,0.2506,0.9774,0.4793,0.4994,0.3193,0.5845,0.8527,0.2948,0.6983,0.4365,Control
H04,0.84,1.0622,0.7873,0.5698,0.1941,0.4161,0.4904,0.6127,1.3703,1.139,-0.137,0.8339,0.3891,0.813,0.7639,0.7428,0.4296,0.6547,0.9967,0.4178,0.7976,0.5779,Control
H06,0.5613,1.039,0.5399,0.4812,0.1617,0.5329,0.4826,0.4598,1.2681,0.9014,0.116,0.7767,0.2976,0.7744,0.5682,0.4249,0.3053,0.6925,0.7342,0.5362,0.7554,0.5138,Control
