@relation data

@attribute id string
@attribute 842 numeric
@attribute 1147 numeric
@attribute 2932 numeric
@attribute 7249 numeric
@attribute 5170 numeric
@attribute 4193 numeric
@attribute 1027 numeric
@attribute 2931 numeric
@attribute 1026 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 10000 numeric
@attribute 84335 numeric
@attribute 572 numeric
@attribute Class {Control,BRCACancer}

@data
E03,0.7942,1.1822,0.3929,0.3425,0.7398,1.1297,2.0646,1.2587,1.0323,0.7193,0.8478,0.3225,0.2762,0.2674,Control
E04,0.9529,1.0777,0.4422,0.4218,0.7936,1.0522,2.3754,1.28,1.4626,0.6947,0.8803,0.4557,0.3815,0.3343,Control
E05,0.6698,0.9936,0.4746,0.1631,0.55,0.9732,1.9487,0.9034,1.3686,0.5352,0.6352,0.5428,0.157,0.1632,Control
E06,0.5701,0.8472,0.5171,0.1139,0.5865,0.8541,1.211,0.7213,1.0605,0.3489,0.4298,0.343,0.047,0.0742,BRCACancer
E07,0.8374,1.0818,0.4318,0.3959,0.7487,1.1394,1.8956,1.1368,1.1484,0.6688,0.7966,0.3938,0.2447,0.2417,BRCACancer
E08,0.7411,1.2624,0.4516,0.3513,0.7355,1.1701,2.0509,1.1436,1.3651,0.6699,0.8287,0.3535,0.3729,0.256,Control
E09,0.8109,1.0022,0.4532,0.3337,0.7507,0.9634,1.6867,1.187,1.3638,0.5251,0.7731,0.3239,0.2596,0.278,BRCACancer
E10,0.9072,1.3073,0.6302,0.2699,0.7537,1.2869,2.0338,1.2154,1.2444,0.5654,0.7628,0.4547,0.171,0.1345,BRCACancer
E11,0.5824,1.0224,0.3285,0.2372,0.6281,1.0116,1.7926,0.929,1.4003,0.5429,0.6005,0.3213,0.1901,0.2388,Control
E12,0.52,0.889,0.3275,0.1712,0.4745,0.8927,1.3114,0.973,0.8182,0.4688,0.5201,0.258,0.0673,0.0541,BRCACancer
F01,0.8004,1.2517,0.5279,0.3308,0.7432,1.2449,2.4548,1.1351,1.3507,0.7164,0.8764,0.5117,0.2414,0.2496,Control
F02,0.8832,1.2665,0.4525,0.4204,0.7787,1.217,2.1737,1.1528,1.3292,0.7651,0.8582,0.4381,0.3725,0.2855,Control
F03,0.7564,1.1803,0.3452,0.2755,0.7178,1.1487,1.8084,1.0763,1.2171,0.6655,0.7096,0.3415,0.2151,0.2638,Control
F04,0.6911,1.3316,0.5787,0.2958,0.7441,1.203,2.0725,1.0424,1.1274,0.6705,0.6982,0.5427,0.2308,0.1758,Control
F05,0.8857,1.2004,0.3728,0.3007,0.6987,1.052,2.0834,1.1494,1.3825,0.6826,0.7583,0.3725,0.2349,0.2708,Control
F06,0.633,1.0639,0.4321,0.1867,0.5622,0.9273,1.2645,0.9939,1.1782,0.5984,0.5471,0.2957,0.1637,0.0988,Control
F07,0.6471,1.1147,0.6334,0.3512,0.7675,1.1139,1.7513,0.9622,0.9623,0.637,0.7721,0.7083,0.2106,0.2337,Control
F09,0.9773,1.3954,0.5011,0.3567,0.8279,1.1936,2.2398,1.3096,1.2817,0.8316,0.837,0.387,0.4643,0.353,Control
F10,0.9798,1.2795,0.5977,0.3854,0.8048,1.2008,1.928,1.2719,1.4078,0.8031,0.851,0.5174,0.3828,0.229,Control
F11,0.8429,1.2188,0.3326,0.2749,0.7498,1.1338,1.8132,1.3041,1.2178,0.7367,0.7592,0.3218,0.2996,0.2728,Control
F12,0.6706,1.2852,0.7248,0.2666,0.7929,1.2334,1.8905,0.8879,1.1971,0.6179,0.6186,0.6777,0.1894,0.1744,Control
G01,0.6642,1.0726,0.4939,0.2836,0.7747,1.0552,1.3652,1.1592,0.9483,0.6276,0.6667,0.3303,0.2232,0.296,Control
G02,0.6008,0.8832,0.3838,0.2814,0.6527,1.085,1.614,1.1002,1.2135,0.6282,0.6452,0.2938,0.1574,0.1978,Control
G03,0.8694,1.3285,0.5477,0.3315,0.7841,1.2532,1.9686,1.2494,1.0624,0.6857,0.773,0.4989,0.2319,0.1631,Control
G04,0.9222,1.0387,0.4669,0.3708,0.6814,0.9682,1.9256,1.2815,1.4494,0.7708,0.807,0.3572,0.3731,0.3033,BRCACancer
G05,0.4076,0.7375,0.3954,0.2514,0.5572,0.8132,1.3904,0.6605,0.9125,0.4634,0.522,0.3377,0.0332,0.1514,BRCACancer
G06,0.8072,0.9253,0.5894,0.2912,0.6787,0.928,1.8017,1.0678,1.3227,0.594,0.6594,0.4803,0.1938,0.2126,BRCACancer
G07,0.5844,1.061,0.3553,0.2676,0.6591,1.0282,1.8785,0.9421,0.7022,0.562,0.6756,0.3401,0.1281,0.1988,Control
G08,0.8595,1.3486,0.4851,0.2527,0.7447,1.2384,1.9818,1.3027,1.104,0.689,0.7859,0.4418,0.1637,0.261,Control
G09,0.4566,0.8703,0.3892,0.2921,0.6808,1.062,1.6026,0.9936,1.2437,0.5637,0.6083,0.2973,0.1706,0.2349,Control
