@relation data

@attribute id string
@attribute 10157 numeric
@attribute 501 numeric
@attribute 51166 numeric
@attribute Class {Control,BRCACancer}

@data
I07,0.4719,0.0019,-0.0356,Control
I08,0.2893,0.0251,-0.039,Control
I09,0.1677,0.041,-0.0582,Control
I10,0.4759,-0.012,-0.0842,Control
I11,0.1302,-0.0184,-0.016,Control
I12,0.3166,-0.0093,-0.0317,Control
I13,0.2037,-0.0948,-0.0508,Control
J01,0.1615,-0.0025,0.0162,Control
J02,0.2378,0.195,-0.0149,Control
J03,0.3725,-0.0157,-0.03,Control
J04,0.1865,-0.0462,-0.0419,Control
J05,0.1863,0.1363,-0.0208,Control
J06,0.2575,-0.0451,-0.0356,Control
J07,0.1833,0.0145,-0.0373,Control
J08,0.1891,0.0684,-0.0559,Control
J09,0.2503,-0.0134,-0.0371,Control
J10,0.4019,-0.112,-0.0718,Control
J11,0.3535,-0.0236,-0.0219,Control
J12,0.185,-0.0748,-0.0861,Control
K01,0.3051,0.0165,-0.0416,BRCACancer
K02,0.2953,0.0682,-0.0664,BRCACancer
K03,0.1949,0.0172,-0.0658,BRCACancer
K04,0.3742,-0.034,-0.0727,BRCACancer
K05,0.1443,0.0015,-0.0344,Control
AA_RR-849,0.0794,-0.0537,-0.0157,BRCACancer
AE_RR-3300,0.3933,0.0051,-0.0456,Control
AF_RR-3276,0.0126,0.0243,-0.0642,Control
AG_RR-3298,0.194,-0.0114,0.0222,Control
AH_RR-3295,0.3953,3e-04,-0.098,Control
AI_RR-3291,0.4087,-0.0111,-0.0547,Control
AJ_RR-3296,0.4209,-0.0212,-0.0595,Control
AM_RR-1949,0.2404,0.0124,-0.0534,Control
AN_RR-3297,0.2415,-0.0307,-0.1025,Control
AO_RR-3288,0.3864,-0.0162,-0.0686,Control
AP_RR-3280,0.0621,-0.0188,-0.0209,Control
AR_RR-3278,0.4412,0.0483,0.0089,Control
AS_RR-3277,0.1562,-0.0398,-0.0508,Control
A_RR96-12,0.6487,-0.0053,-0.0625,BRCACancer
B_RR-1519,0.1736,0.1134,-0.0294,BRCACancer
C_RR-3293,0.4699,0.3179,-0.0372,BRCACancer
D_RR-3301,0.2169,-0.0379,-0.0291,BRCACancer
E_RR-2070,0.269,-0.0187,-0.0193,BRCACancer
J_RR-1226,0.1114,-0.0254,-0.0553,BRCACancer
K_RR-3290,0.2098,-0.036,-0.0643,Control
L_RR-3286,0.4462,0.0164,-0.0568,Control
N_RR-3294,0.2625,0.0159,-0.0893,Control
O_RR-3285,0.3005,-0.0091,-0.0355,Control
P_RR-3274,0.218,-0.0052,-0.0822,Control
Q_RR-3283,0.22,-0.0133,-0.1128,Control
RR-3275,0.1559,-0.0346,-0.0802,Control
RR-3281,0.104,-0.0948,-0.0754,Control
RR-3287,0.2354,-0.0447,-0.1059,BRCACancer
RR-3289,0.2063,-0.0038,-0.0323,Control
RR-3299,0.3019,-0.0449,-0.0349,BRCACancer
T_RR-3292,0.2184,-0.0099,-0.1314,Control
U_RR-2236,0.2987,-0.0613,-0.0458,BRCACancer
V_RR-1455,0.0341,0.1966,-0.0256,BRCACancer
W_RR-922,0.1267,-0.0046,-8e-04,BRCACancer
X_RR-1083,0.093,-0.0386,-0.0248,BRCACancer
Y_RR-841,0.0732,0.0374,-0.0237,BRCACancer
Z_RR-778,0.1334,-0.0399,-0.047,BRCACancer
