@relation data

@attribute id string
@attribute 8557 numeric
@attribute 7140 numeric
@attribute 4703 numeric
@attribute 7125 numeric
@attribute 4634 numeric
@attribute 7139 numeric
@attribute 4633 numeric
@attribute 7169 numeric
@attribute 4632 numeric
@attribute 7168 numeric
@attribute 4635 numeric
@attribute 7273 numeric
@attribute 1756 numeric
@attribute 7111 numeric
@attribute 7137 numeric
@attribute 7138 numeric
@attribute 7135 numeric
@attribute 7136 numeric
@attribute 7134 numeric
@attribute 7431 numeric
@attribute 4621 numeric
@attribute 4604 numeric
@attribute 1674 numeric
@attribute 4624 numeric
@attribute 4626 numeric
@attribute 7171 numeric
@attribute 4607 numeric
@attribute 4606 numeric
@attribute 7170 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute Class {Control,BRCACancer}

@data
E10,-0.0134,-0.0504,0.0882,0.0111,0.1202,0.0052,-0.0469,0.036,0.0189,0.3284,-0.0021,0.3307,-0.1303,0.0175,-0.0803,0.1398,0.0715,0.1662,0.2,2.4292,-0.0629,-0.0891,0.0191,-0.1276,-0.1317,0.601,0.0319,-0.1528,0.6282,-0.045,-0.0227,BRCACancer
E11,-0.1551,-0.0013,-0.028,0.002,0.1364,-0.0029,0.1104,0.0197,-0.0387,0.4289,0.1853,0.1536,-0.0981,0.1131,-0.0352,0.1899,0.037,0.0512,0.1891,2.0556,-0.05,-0.0474,0.1168,-0.0457,-0.1622,0.4172,0.1165,-0.1159,0.3245,0.0048,-0.0252,Control
E12,-0.3276,-0.0263,0.0121,-0.0482,-0.0428,-0.1198,-0.0499,-0.0627,-0.0717,0.2537,0.0314,0.1317,-0.0581,0.0514,-0.1252,0.1376,0.0231,-0.0502,0.0169,2.0658,-0.1191,-0.0701,-0.0516,-0.1311,-0.1346,0.3596,-0.0236,-0.1145,0.2407,-0.0837,-0.0413,BRCACancer
F01,0.0176,0.1604,0.048,0.0596,0.1015,-0.0335,-0.1786,0.3571,-0.0837,0.3308,-0.0731,0.6064,-0.1249,0.0649,-0.1513,0.1507,0.0808,0.038,0.2832,2.4628,-0.0313,-0.103,-0.0271,-0.1217,-0.1483,0.772,0.1054,-0.0876,0.5392,-0.0041,-0.0051,Control
F02,0.0032,0.1169,0.0057,0.1015,0.1315,0.0186,-0.0212,0.2492,-0.0817,0.3528,-0.0421,0.4261,-0.0939,0.0603,0.0553,0.2994,0.0441,0.1801,0.251,2.4156,-0.0201,-0.1102,0.1765,-0.091,-0.1389,0.6099,0.0825,-0.1151,0.572,-0.0084,0.0088,Control
F03,-0.2929,0.0429,-0.0025,0.1679,0.0923,-0.0956,-0.1854,0.034,-0.0997,0.3853,-0.0441,0.1903,-0.1129,0.0242,0.0414,0.1727,0.0385,0.0718,0.3872,2.377,-0.1148,-0.1472,0.1152,-0.0712,-0.1318,0.4446,-1e-04,-0.184,0.4108,0.0112,-0.0231,Control
F04,-0.0667,-0.0017,-0.0267,-0.0198,0.1881,0.0027,8e-04,0.2252,-0.0234,0.4022,-0.0457,0.3178,-0.1364,0.0545,-0.1864,0.0749,-0.0058,-0.0456,0.2371,2.6833,-0.0575,-0.1425,-0.1094,-0.1334,-0.1731,0.6926,0.0828,-0.1875,0.5905,-0.0674,-0.0833,Control
F05,-0.1965,0.1677,-0.0121,0.1995,0.1818,0.0452,0.0238,0.1299,-0.0666,0.4811,-0.032,0.2189,-0.1047,0.0521,0.0046,0.1989,0.0679,0.0765,0.2751,2.2371,-0.0227,-0.0929,0.0909,-0.0844,-0.1253,0.5795,0.0788,-0.1094,0.4713,-0.0175,0.0224,Control
F06,-0.3475,0.0162,0.0547,0.0985,0.1406,-0.0197,0.0743,0.0236,0.0292,0.3913,-0.1087,0.175,-0.1231,0.0332,-0.1763,0.0856,0.0234,0.0137,0.2256,2.2121,-0.122,-0.0858,0.0436,-0.0814,-0.2261,0.2574,0.0376,-0.0944,0.3448,0.0049,-0.1043,Control
F07,-0.0364,0.1582,-0.0116,0.0695,0.092,-0.0403,-0.0287,0.1497,-0.0343,0.3405,-0.0163,0.5452,-0.0932,0.0663,-0.0235,0.1983,0.0044,0.1657,0.2398,2.0358,-8e-04,-0.0702,0.0262,-0.0948,-0.1245,0.5921,0.0986,-0.0653,0.494,-0.07,-0.0293,Control
