@relation data

@attribute id string
@attribute 10560 numeric
@attribute 113235 numeric
@attribute 113278 numeric
@attribute 151056 numeric
@attribute 158835 numeric
@attribute 2346 numeric
@attribute 25974 numeric
@attribute 2694 numeric
@attribute 335 numeric
@attribute 337 numeric
@attribute 338 numeric
@attribute 4363 numeric
@attribute 5406 numeric
@attribute 55788 numeric
@attribute 5948 numeric
@attribute 6573 numeric
@attribute 686 numeric
@attribute 6948 numeric
@attribute 8029 numeric
@attribute 80704 numeric
@attribute 8884 numeric
@attribute 9227 numeric
@attribute 949 numeric
@attribute 9963 numeric
@attribute Class {Control,BRCACancer}

@data
B10,0.3152,-0.0246,-0.1996,0.1779,-0.0703,-0.1674,0.1425,-0.1058,0.1436,0.0171,-0.1053,0.6353,-0.0207,1.2404,0.0635,0.2641,0.1855,0.0337,0.0636,0.0094,0.3309,-0.1149,-0.0337,0.2385,Control
B11,0.3637,0.1751,-0.092,0.2047,-0.1993,-0.0655,0.2043,-0.057,0.2196,0.0486,-0.0207,0.7181,-0.0618,1.2366,-0.0128,0.6413,0.263,0.1983,0.0595,-0.073,0.3518,-0.0587,0.0511,0.3076,Control
B12,0.1138,-0.112,-0.1773,0.1005,-0.2207,-0.0909,0.1715,-0.1585,0.1352,-0.0029,-0.0901,0.6922,-0.1708,0.9614,-0.0159,0.3778,0.1197,-0.0644,0.2428,0.023,0.1869,-0.1797,-2e-04,0.2415,Control
C01,0.514,0.2473,-0.1263,0.2794,-0.1911,-0.2515,0.3639,-0.1922,0.0382,-0.011,-0.0661,0.9678,-0.1272,1.25,9e-04,0.5722,0.3435,0.3971,0.2093,-0.0518,0.6036,-0.022,0.2559,0.2899,BRCACancer
C02,0.4084,0.0904,-0.1221,0.2077,-0.1508,-0.122,0.2336,-0.144,0.1104,0.0437,-0.0427,0.7865,-0.0327,1.2145,-0.078,0.5439,0.392,0.2545,0.0359,-0.0388,0.5528,0.0927,0.1856,0.3071,BRCACancer
C03,0.4591,0.2053,-0.0978,0.2172,-0.1639,-0.159,0.3736,-0.1554,0.0576,-4e-04,-0.044,0.8912,-0.0795,1.2933,-0.0393,0.6313,0.4276,0.3301,0.1771,-0.0647,0.7216,0.006,0.2204,0.2637,BRCACancer
C04,0.2712,0.0461,-0.1096,0.0524,-0.1281,-0.0908,0.1972,-0.1039,0.0783,0.0709,-0.0735,0.655,0.0723,0.7969,0.0737,0.3757,0.1346,0.1671,0.0366,-0.0693,0.224,0.0983,0.0938,0.1619,Control
C05,0.2776,-0.0055,-0.1,0.1241,-0.0737,-0.1402,0.2101,-0.1512,0.1307,0.066,-0.0085,0.5297,0.0254,0.8349,-0.0134,0.3701,0.2033,0.2392,0.0396,-0.0635,0.2651,0.0647,0.1484,0.2143,BRCACancer
C06,0.0877,-0.0113,-0.0478,-0.0132,-0.2347,-0.2984,0.2828,-0.0127,0.2367,0.1805,-0.0034,0.3201,0.0839,0.3129,0.033,0.179,0.0381,-0.0611,-0.1201,0.0288,0.0663,-0.0159,-0.0301,0.379,Control
C07,0.2899,0.0218,-0.1545,0.1105,-0.1549,-0.1494,0.2845,-0.1472,0.013,0.1036,-0.0617,0.6752,-0.0266,0.9978,-0.0471,0.4108,0.2143,0.1432,0.0054,-0.0213,0.4058,0.0716,-0.0104,0.1967,Control
C08,0.3879,0.1007,-0.047,0.1664,-0.171,-0.16,0.3597,-0.0732,0.0552,0.0956,-0.0917,0.7789,0.0073,1.1042,-0.0108,0.5213,0.2762,0.3379,0.2062,-0.0079,0.495,-0.0946,0.1514,0.2546,Control
C09,0.4005,0.096,0.0017,0.0537,-0.0544,-0.1338,0.2514,-0.1436,0.1247,0.1145,-0.077,0.6817,-0.0155,1.0114,-0.027,0.4149,0.2193,0.2048,-0.0052,-0.0367,0.4959,-0.0043,0.1827,0.2573,Control
C10,0.3363,0.037,-0.0473,0.1746,-0.1644,-0.1187,0.2987,-0.086,0.1685,0.0082,-0.0557,0.6217,-0.0319,1.1367,-0.0508,0.3748,0.2771,0.0493,0.0301,-0.0071,0.4132,-0.0626,0.1038,0.2712,BRCACancer
C11,0.3465,0.1426,-0.0199,0.1027,-0.1228,-0.0405,0.3394,-0.0344,0.1677,0.0965,-0.0776,0.8445,0.026,1.0255,-0.0789,0.5691,0.2,0.2164,0.1442,-0.0922,0.4942,-0.066,0.1819,0.2206,Control
C12,0.1611,0.0048,-0.1258,0.0567,-0.0722,-0.1412,-0.0176,-0.1027,0.1076,0.1545,-0.0335,0.5206,-0.0012,0.673,0.0236,0.3702,0.1068,-0.0159,0.0436,-0.0608,0.2515,-0.0143,-0.1098,0.2442,BRCACancer
D01,0.2417,0.1016,-0.2344,0.1381,-0.1774,-0.164,0.1098,-0.1235,-0.0103,0.1092,-0.0575,0.9415,-0.1529,1.2234,-0.0575,0.4768,0.2946,0.1065,0.3653,-0.0384,0.3693,-0.131,0.179,0.2749,BRCACancer
D02,0.2933,-0.0128,0.0305,0.03,-0.1266,-0.047,0.1277,-0.0464,0.1206,0.1549,-0.0791,0.7781,-0.0202,1.153,-0.0699,0.3779,0.2126,0.0948,0.0569,-0.1068,0.4207,0.0428,0.2117,0.2961,BRCACancer
D03,0.2301,0.0081,-0.0772,0.1295,-0.1968,-0.084,0.1082,-0.1035,0.1106,0.0725,-0.0621,0.7287,-0.0515,0.9326,-0.0084,0.3997,0.2016,0.085,-0.0095,-0.0386,0.3959,0.0333,0.1342,0.2536,BRCACancer
D04,0.2638,0.118,-0.1075,0.1619,-0.128,-0.1664,0.2248,-0.1261,0.0722,0.1818,-0.1125,0.802,-0.0136,1.0522,-0.0425,0.5868,0.2258,0.3347,0.1006,-0.0152,0.3866,-0.033,0.1714,0.1619,BRCACancer
D05,0.3195,0.1163,-0.1519,0.2541,-0.1035,-0.131,0.182,-0.0985,0.0941,0.1287,-0.0249,0.7522,-0.0198,1.0922,0.0228,0.5113,0.2323,0.5815,-0.0059,-0.0087,0.5002,0.0084,0.0698,0.302,BRCACancer
D06,0.4204,0.1106,-0.0798,0.2245,-0.1241,-0.2295,0.4134,-0.0752,0.1754,0.0517,-0.0884,0.8952,-0.063,1.1939,-0.0726,0.5785,0.3481,0.471,0.1912,-0.0359,0.6135,-0.0096,0.258,0.2595,BRCACancer
D07,0.3758,-0.0154,-0.0905,0.1297,-0.1251,-0.0163,0.243,-0.0598,0.1952,0.1413,-0.0703,0.7816,-0.005,1.065,-0.067,0.4402,0.259,0.2902,0.0598,-0.0577,0.579,-0.0903,0.164,0.2729,Control
D08,0.2582,-0.0098,-0.1012,0.1302,-0.1395,-0.2149,0.082,-0.1471,-0.0216,0.0654,0.0092,0.5781,-0.0405,0.9296,-0.0807,0.4114,0.0974,0.2311,-0.0092,0.0579,0.3763,-0.013,0.0099,0.3353,Control
D09,0.3109,0.123,-0.1261,0.2567,-0.0849,-0.1611,0.3525,-0.2002,0.1809,0.0697,-0.0908,0.7671,-0.0503,1.0606,-0.0099,0.4693,0.1695,0.1743,0.0785,-0.0311,0.4449,-0.0778,0.1325,0.2081,Control
D10,0.239,-0.0046,-0.2198,0.1389,-0.1133,-0.1265,0.1348,-0.1298,0.1923,0.109,-0.0546,0.6396,-0.0581,0.9942,0.0163,0.5211,0.1881,0.1555,0.0509,-0.0414,0.243,-0.0234,0.0558,0.2248,Control
D11,0.0261,-0.038,-0.0477,0.0954,-0.0505,-0.2486,-0.0025,-0.2298,0.1309,0.1231,-0.0337,0.4293,0.0019,0.5874,0.0552,0.2703,0.0724,0.045,-0.0332,0.0384,0.1453,-0.13,0.0281,0.3892,Control
D12,0.0877,0.0365,-0.058,0.0595,-0.0669,0.0509,0.095,-0.0161,0.1484,0.1886,-0.0619,0.6182,-0.047,0.7755,-0.0596,0.4361,0.0071,0.0946,0.0426,-0.0656,0.2206,-0.1102,0.1197,0.3229,Control
E01,0.1512,-0.02,-0.1478,0.1308,-0.1024,-0.1533,0.0912,-0.0533,0.0311,0.035,-0.0295,0.6683,-0.0561,0.8807,0.0234,0.3431,0.2095,0.0578,0.0499,0.0561,0.3137,-0.0519,-0.0425,0.1884,BRCACancer
E02,0.3938,0.087,-0.0674,0.1224,-0.1456,-0.0568,0.4188,-0.1639,0.0241,0.0857,-0.072,0.8132,-0.0802,1.2683,-0.0358,0.3348,0.3415,0.1928,0.0987,0.0264,0.5103,-0.1036,0.0582,0.219,Control
E03,0.2781,0.0907,-0.0183,0.108,-0.1126,-0.0212,0.0937,-0.0956,0.1473,0.1009,-0.0973,0.778,0.0047,1.1212,-0.065,0.5438,0.2551,0.3404,0.1005,-0.0819,0.4929,0.011,0.1498,0.1403,Control
E04,0.3915,0.1584,-0.1196,0.2022,-0.2009,-0.0439,0.2284,-0.0811,0.0203,0.1818,-0.0303,0.9176,-0.0484,1.1684,0.0193,0.5745,0.3534,0.2101,0.1382,0.003,0.6429,-0.113,0.2051,0.2686,Control
E05,0.3651,0.0642,-0.1339,0.1779,-0.1771,-0.1937,0.2065,-0.1184,0.1402,-8e-04,-0.0057,0.7117,-0.0863,1.1137,-0.0473,0.2295,0.3043,0.007,0.2063,-0.0228,0.5015,0.06,-0.0286,0.4058,Control
E06,0.3365,0.0254,-0.1654,0.2908,-0.241,-0.3378,0.2103,-0.138,0.0732,0.1626,0.0122,0.5094,-0.0935,0.9504,0.0102,0.326,0.2192,0.1876,-0.0717,0.025,0.3833,0.0314,0.0475,0.3923,BRCACancer
E07,0.325,0.1095,-0.1545,0.1106,-0.0816,-0.0593,0.1885,-0.1142,0.0949,0.1216,-0.0391,0.8311,-0.0868,1.0062,-0.1234,0.5163,0.1696,0.1366,0.0659,-0.0418,0.5444,-0.0645,0.1583,0.2213,BRCACancer
E08,0.3442,0.1573,-0.1705,0.1265,-0.1118,-0.0746,0.2752,-0.0477,0.0044,0.2016,-0.0281,0.7945,-0.0643,1.1636,-0.0564,0.4795,0.2799,0.355,0.0857,-0.0304,0.5586,-0.0622,0.0266,0.1221,Control
E09,0.4601,0.083,-0.0567,0.0946,-0.1575,-0.0289,0.2335,-0.0881,0.2402,0.0578,-0.0904,0.7667,0.002,1.0492,-0.066,0.5149,0.2915,0.2448,0.1064,-0.0127,0.452,-0.0522,0.1373,0.2323,BRCACancer
E10,0.3792,0.077,-0.2256,0.2221,-0.1428,-0.1905,0.2629,-0.0481,0.1856,0.1212,-0.0329,0.9061,-0.1188,1.3441,-0.0156,0.5026,0.3328,0.343,0.0727,-0.015,0.545,-0.0432,0.0711,0.255,BRCACancer
E11,0.2518,-0.0493,-0.0418,0.087,-0.1432,-0.0477,0.126,-0.1561,0.2079,0.0949,-0.0906,0.6736,-0.0267,0.9544,-0.1042,0.3883,0.2359,0.2031,0.0635,-0.042,0.3283,-0.0015,0.0176,0.2215,Control
