@relation data

@attribute id string
@attribute 79023 numeric
@attribute 23511 numeric
@attribute 55746 numeric
@attribute 7514 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 9883 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 348995 numeric
@attribute 11097 numeric
@attribute 53371 numeric
@attribute 9972 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 8021 numeric
@attribute 23225 numeric
@attribute 5905 numeric
@attribute 9818 numeric
@attribute 8086 numeric
@attribute 57122 numeric
@attribute 5901 numeric
@attribute 23165 numeric
@attribute 5902 numeric
@attribute 5903 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 129401 numeric
@attribute 81929 numeric
@attribute 10762 numeric
@attribute Class {Control,BRCACancer}

@data
B09,0.5029,1.0049,0.7476,1.5431,0.9911,0.5928,0.785,1.2372,1.2768,0.8519,0.3937,0.7978,1.4929,0.5997,1.0315,1.2024,1.2175,0.6143,1.191,0.5651,0.6225,0.8878,1.0691,0.1956,1.8475,1.5335,0.7274,0.5427,0.9904,0.8229,Control
B10,0.4651,0.9778,0.909,1.5028,1.0058,0.5485,0.824,1.2817,1.2331,0.9785,0.4698,0.6714,1.4679,0.6387,1.2584,1.0223,1.2188,0.4763,1.1207,0.519,0.6568,0.5354,1.2962,0.0813,2.2728,1.5898,0.5588,0.4299,0.9379,0.7435,Control
B11,0.8412,1.2224,1.0011,1.3787,1.0086,0.853,0.7286,1.4328,1.4932,0.8844,0.4665,0.7469,1.3633,0.7714,1.3339,1.0813,1.213,0.6464,1.0991,0.7744,0.9472,1.0194,1.2535,0.1441,2.3438,1.5531,0.7724,0.4953,1.095,0.6408,Control
B12,0.1629,0.7028,0.5642,1.0742,0.6895,0.5126,0.7603,0.9721,0.9855,0.7739,0.2518,0.5057,1.2339,0.3058,0.6816,0.9675,1.1512,0.5925,0.9321,0.3612,0.3379,0.4139,0.8909,0.2504,1.5299,1.2454,0.421,0.2647,0.7278,0.797,Control
C01,0.7902,1.3206,1.0112,1.4695,1.2091,0.7853,0.7886,1.4342,1.628,1.3116,0.7137,0.7948,1.4104,0.8812,1.3319,1.2218,1.4835,0.9139,1.3949,1.0343,0.8876,0.7476,1.3441,0.2337,2.0799,1.593,0.8315,0.4498,1.2151,1.0298,BRCACancer
C02,0.6909,1.3558,1.0788,1.4884,1.1774,0.6721,0.6567,1.4731,1.5399,1.3978,0.726,0.7792,1.422,0.8127,1.528,1.0497,1.4517,0.7664,1.0992,0.9673,0.8502,0.6731,1.4597,0.2669,2.2137,1.6669,0.7229,0.5095,1.2417,0.9047,BRCACancer
C03,0.8075,1.5227,1.1437,1.5623,1.2396,0.9575,0.7771,1.4752,1.6396,1.3178,0.6477,0.9167,1.527,0.9071,1.5042,1.1792,1.7059,1.0297,1.3376,1.1564,0.915,0.8911,1.5213,0.3078,2.2484,1.773,0.7952,0.5169,1.1128,1.0365,BRCACancer
C04,0.376,0.8993,0.536,0.9275,0.7383,0.4422,0.2766,1.0658,1.1736,0.5325,0.2046,0.4391,0.8565,0.5431,0.7006,0.7815,0.9066,0.57,0.817,0.6272,0.4427,0.4288,0.7577,0.3402,1.3057,0.9825,0.491,0.2347,0.8211,0.7504,Control
C05,0.4834,0.9081,0.6771,1.0889,0.7636,0.4294,0.2892,0.8608,1.2272,0.6612,0.3151,0.4889,1.001,0.5358,0.9682,0.7474,1.1183,0.5596,0.8615,0.5311,0.4563,0.5349,0.9758,0.1876,1.6143,1.1724,0.4938,0.2472,0.8026,0.5879,BRCACancer
C06,-0.1168,0.1649,0.2081,0.3145,0.2106,0.2415,0.2674,0.4415,0.3058,0.0663,-0.1015,0.0744,0.3503,0.1744,0.136,0.3175,0.3021,0.2221,0.1386,0.1147,0.0394,0.2916,0.2002,0.0594,0.5151,0.2153,0.1107,0.0519,0.2205,0.4785,Control
