@relation data

@attribute id string
@attribute 941 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 79109 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 117145 numeric
@attribute 2534 numeric
@attribute 253260 numeric
@attribute 9020 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 57761 numeric
@attribute Class {Control,BRCACancer}

@data
E02,0.0874,0.5754,1.7287,0.6113,0.6304,0.3476,0.5914,0.7641,0.9259,1.4187,0.4278,0.4643,0.6759,1.335,1.6132,0.5547,1.3123,1.9643,0.1348,Control
E03,0.0548,0.5742,1.3732,0.7398,0.6631,0.352,0.7193,0.8478,0.7133,1.0946,0.5787,0.3225,0.6928,1.0348,1.2723,0.5466,1.0162,1.8837,0.2357,Control
E04,0.1518,0.5273,1.7584,0.7936,0.7471,0.3294,0.6947,0.8803,0.8834,1.2981,0.5397,0.4557,1.1342,1.3003,1.5334,0.6343,1.206,1.9681,0.1918,Control
E05,0.1595,0.6765,1.756,0.55,0.4924,0.254,0.5352,0.6352,0.8535,1.3184,0.2925,0.5428,0.8264,1.3551,1.6883,0.3856,1.3142,1.7104,-0.0925,Control
E06,0.1825,0.9399,0.7721,0.5865,0.6225,0.2072,0.3489,0.4298,0.6928,1.0115,0.1513,0.343,0.4074,1.1605,1.2423,0.3523,1.0073,0.9434,-0.2158,BRCACancer
E07,0.262,0.6877,1.271,0.7487,0.7414,0.3065,0.6688,0.7966,0.8341,1.1507,0.3897,0.3938,0.7462,1.2213,1.3548,0.5164,1.0966,1.4798,0.1001,BRCACancer
E08,0.2722,0.8179,1.7394,0.7355,0.7626,0.3409,0.6699,0.8287,0.8565,1.3302,0.4993,0.3535,0.7177,1.3433,1.5309,0.6018,1.2404,1.8565,0.2037,Control
E09,0.1623,0.4924,1.546,0.7507,0.6078,0.3007,0.5251,0.7731,0.7692,1.2287,0.5236,0.3239,0.5931,1.1633,1.3345,0.554,1.1152,1.8566,0.3417,BRCACancer
E10,0.3413,0.896,1.4625,0.7537,0.7603,0.488,0.5654,0.7628,1.0305,1.4286,0.4258,0.4547,0.713,1.458,1.6652,0.6949,1.3277,1.5991,0.1254,BRCACancer
E11,0.133,0.4123,1.5077,0.6281,0.4989,0.2341,0.5429,0.6005,0.5847,1.0373,0.3103,0.3213,0.3462,1.0334,1.3027,0.4062,1.0308,1.6621,0.152,Control
E12,0.2121,0.6483,0.873,0.4745,0.5779,0.2552,0.4688,0.5201,0.4856,0.8651,0.2432,0.258,0.4106,0.952,1.0045,0.3196,0.8782,1.3792,-0.0404,BRCACancer
F01,0.2418,0.7647,1.8994,0.7432,0.6283,0.4844,0.7164,0.8764,0.9487,1.4093,0.4702,0.5117,0.9272,1.4117,1.6609,0.8286,1.321,1.8359,0.1855,Control
F02,0.2561,0.793,1.7821,0.7787,0.7391,0.3723,0.7651,0.8582,0.9961,1.3948,0.4984,0.4381,0.8932,1.4755,1.6083,0.753,1.3576,2.0054,0.2404,Control
F03,0.0827,0.6324,1.3169,0.7178,0.6918,0.2991,0.6655,0.7096,0.8349,1.2505,0.4399,0.3415,0.4307,1.1449,1.3527,0.489,1.0568,1.6961,0.1806,Control
F04,0.1219,0.8654,1.2238,0.7441,0.799,0.5323,0.6705,0.6982,0.7751,1.203,0.3348,0.5427,0.6954,1.5868,1.4319,0.716,1.2974,1.4549,-0.0418,Control
