@relation data

@attribute 114 numeric
@attribute 115 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 2642 numeric
@attribute 2641 numeric
@attribute 111 numeric
@attribute 5577 numeric
@attribute 2788 numeric
@attribute 2787 numeric
@attribute 59345 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 55811 numeric
@attribute 109 numeric
@attribute 108 numeric
@attribute 54331 numeric
@attribute 107 numeric
@attribute 55970 numeric
@attribute 94235 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 2778 numeric
@attribute 196883 numeric
@attribute 2782 numeric
@attribute 5573 numeric
@attribute 5576 numeric
@attribute 51764 numeric
@attribute 5575 numeric
@attribute Class {Control,BRCA}

@data
6.134894093,8.179201405,10.29987056,7.499250204,4.771636575,5.057245821,6.551751032,5.492182674,9.226485123,8.442664802,7.5026355755,6.530878866,9.350724377,6.298205225,5.346435058,8.286304921,12.94317143,6.104971499,12.17610621,7.091120961,7.365471921,6.45574924,7.23239964,5.091711732,6.5859397695,5.0578073466,6.287994543,8.86041017833,10.90371263,13.00161496,9.08887684467,8.176760488,5.452703528,7.988004536,BRCA
6.137304345,8.316509092,9.8796694575,7.346604868,5.603189575,5.706538322,5.868767777,5.564539174,9.260367468,9.163298157,7.2400353085,6.225261069,8.378404463,6.055397005,5.478819157,9.92562903,12.82636383,5.698920794,12.72821502,7.103762836,8.135274649,6.928720816,10.07238089,5.551986008,6.027160675,5.3421536938,5.822227442,9.172881566,10.62174996,13.04989878,7.99293009967,8.94526175,5.285412622,7.5453142,Control
6.679413681,8.597597398,10.337719898,7.516962875,5.440131024,5.687208569,6.993564335,5.301049141,8.825389039,9.04801075,7.055096439,6.362562487,8.616586634,5.650485447,5.550447635,10.33248729,13.11366653,5.252865266,12.31128435,7.148098063,8.384871286,6.6365159435,10.16363116,5.238988625,6.4244788405,5.4913025734,5.416511492,8.796592193,10.76919343,13.26893746,9.194411155,9.004516227,5.293711886,7.626842693,Control
5.930152602,9.210044899,10.5431463085,7.537142914,5.057462456,5.706676451,6.859476161,5.268482349,10.09517319,9.210939846,5.9799251475,6.798118982,9.333972157,6.389270486,5.149758548,10.07411507,11.61680165,5.961629839,12.08630553,6.757360421,6.997860083,7.5681815995,9.560920839,5.827953159,6.619283011,5.4387987878,5.237842121,8.711268495,12.10567621,13.29995283,8.633415693,7.750842834,5.119782831,7.240984771,BRCA
5.826428522,8.774277353,10.581626049,7.828646059,4.974312765,5.23994335,6.528184984,5.287261033,9.531343017,7.763878152,6.9163256205,7.068028862,8.807251164,5.614423668,6.121642945,10.34356359,11.8968755,5.545977053,12.52742331,6.790319577,9.073024297,8.248473233,9.949207023,5.706262025,6.1288615465,5.8117429202,5.913135501,9.207844615,10.84257057,13.17700839,8.41487604833,8.335480939,5.44062939,7.292669322,BRCA
5.809164401,9.115954722,9.8093092945,7.272725709,4.959899085,5.716175548,6.908335947,5.765409598,10.26174268,8.979483163,6.976093136,6.86950478,9.157436075,6.663917843,5.995773509,9.641921287,11.32190853,5.579701547,11.98243759,7.210990588,6.821203566,7.7603213985,8.788074828,5.641409649,6.5537420015,5.3283454926,5.754627826,8.61201467833,10.00516175,13.33363132,8.30846996767,7.540595216,5.110625549,7.370450116,BRCA
5.495384375,9.223803305,10.2967908845,6.904728314,4.837705203,5.595899883,6.506728574,5.66903474,9.81791145,9.24482828,5.6412905805,7.120059311,9.539954171,6.132685436,5.836183727,9.90199107,11.52829551,5.967636237,11.37035382,6.696275996,6.808678261,8.9607456695,8.870851027,5.59381033,6.61609541,5.4065428568,5.634165776,8.82288182267,10.70640129,13.36856584,8.24833877567,7.582482852,5.023045997,7.801516189,BRCA
5.626885346,8.75759096,10.2833042595,7.245317684,5.388026974,5.406342144,6.567237875,5.325990094,10.64035818,9.252961701,6.3980360365,6.63161771,9.306620611,6.202227307,5.527642182,10.08386525,11.49170796,5.799353673,12.05450776,6.830360313,8.086854242,8.247227253,8.673027334,6.083006551,6.6313943815,5.5295343186,5.620154746,9.12620744833,10.12880025,13.36355512,8.653406271,7.646560735,5.24660879,7.587367101,BRCA
5.584068992,9.221769032,10.2474442945,7.331949525,5.063730771,5.878793533,6.427820369,5.707781006,10.08672709,9.485326755,5.8819921345,7.036891003,9.583727381,6.371171674,5.981059894,10.49650957,11.7674087,5.984140004,11.82446468,6.904427271,7.432878264,9.5775018565,9.538005127,5.938762876,6.8628717035,5.4814391052,5.341284192,9.14021016267,10.77554879,13.29267684,7.64956818833,7.576259705,4.808142121,8.135646608,BRCA
5.980260273,9.31063614,10.35590611,8.493075988,5.771893004,5.441376616,7.081832585,5.002940155,8.329326713,9.799800123,5.8308617525,6.360983667,9.930146364,5.59724157,5.052688948,7.075401932,12.75033439,6.520033725,8.501728854,7.048353701,6.412997934,6.364286878,9.576399845,6.034420016,6.2169798845,5.1210123436,6.445516183,8.17602958933,12.03158587,13.38150649,8.42010759833,7.632470217,5.077041333,7.493457452,BRCA
