@relation data

@attribute id string
@attribute 2914 numeric
@attribute 2915 numeric
@attribute 2912 numeric
@attribute 2550 numeric
@attribute 2913 numeric
@attribute 222545 numeric
@attribute 2918 numeric
@attribute 83756 numeric
@attribute 2916 numeric
@attribute 2917 numeric
@attribute 9568 numeric
@attribute 846 numeric
@attribute 2911 numeric
@attribute 80834 numeric
@attribute 80835 numeric
@attribute Class {Control,BRCACancer}

@data
E08,0.0711,-0.0988,-0.0228,0.6738,-0.0541,-0.0602,-0.1027,0.1079,-0.0675,-0.073,-0.0735,-0.0793,-0.0935,-0.0042,-0.0707,Control
E09,0.088,-0.0567,-0.0903,0.5242,-0.1102,-0.1411,-0.0732,0.1021,-0.0695,-0.0808,-0.0741,-0.0271,-0.0725,0.0642,0.0442,BRCACancer
E10,0.1053,-0.1297,-0.0416,0.7094,-0.0801,-0.1135,-0.0682,0.0657,-0.0961,-0.0699,-0.1114,-0.0117,-0.1162,0.0941,0.0416,BRCACancer
E11,0.112,-0.1184,-0.075,0.4175,-0.0861,-0.1273,-0.0916,0.1504,-0.07,-0.0812,-0.0448,-0.0371,-0.1158,0.1131,0.0551,Control
E12,0.0164,-0.0572,-0.0584,0.1886,-0.0491,-0.0994,-0.0385,0.0074,-0.1789,-0.0502,-0.0171,-0.0764,-0.0845,-0.0771,-0.0939,BRCACancer
F01,0.1027,-0.144,-0.0281,0.8992,-0.1084,-0.1658,-0.0638,0.0836,-0.0371,-0.1083,-0.1362,0.0138,-0.1322,-0.0355,-0.05,Control
F02,0.1362,-0.0869,0.0334,0.9647,-0.0816,-0.0944,-0.1001,0.1569,-0.0304,-0.0942,-0.0814,-0.0055,-0.131,0.0686,0.028,Control
F03,0.118,-0.1669,-0.0133,0.5045,-0.0827,-0.0758,-0.0629,0.1045,-0.0666,-0.0733,-0.1337,-0.0333,-0.1314,0.051,-0.0116,Control
F04,0.0887,-0.1645,-0.0166,0.738,-0.1337,-0.1814,-0.1035,-0.0064,-0.1524,-0.119,-0.1109,-0.0704,-0.1327,-0.0037,-0.0302,Control
F05,0.1691,-0.1443,-0.0383,0.5947,-0.1078,-0.1105,-0.0693,0.1488,-0.0704,-0.0984,-0.057,0.0165,-0.1159,0.0964,0.0375,Control
F06,0.1262,-0.1984,-0.0699,0.4112,-0.1755,-0.0974,-0.0756,0.0427,-0.0705,-0.071,-0.1131,-0.0077,-0.1206,0.0038,-0.0379,Control
F07,0.0889,-0.1105,-0.0616,0.708,-0.0886,-0.1625,-0.0996,0.0976,-0.0859,-0.1182,-0.0719,-0.0413,-0.1649,-0.0543,-0.0916,Control
F09,0.1251,-0.087,-0.0814,0.8286,-0.1034,-0.1396,-0.1297,0.1337,-0.0695,-0.1033,-0.0766,-0.0269,-0.1186,-0.1006,-0.0242,Control
F10,0.0841,-0.0744,-0.012,0.9027,-0.0859,-0.0822,-0.1115,0.1264,-0.0085,-0.1047,-0.0584,-0.0475,-0.129,0.005,-0.0503,Control
F11,0.1522,-0.11,-0.029,0.6315,-0.0644,-0.0949,-0.0764,0.1652,0.013,-0.0682,-0.0765,-0.0312,-0.0866,0.0299,0.0277,Control
F12,0.0611,-0.1758,0.0431,0.7181,-0.1129,-0.1038,-0.1171,-0.0252,-0.1082,-0.0961,-0.1307,-0.1447,-0.1312,-0.0138,-0.0459,Control
G01,0.1191,-0.1408,-0.0857,0.681,-0.1239,-0.1776,-0.1116,0.0329,-0.0728,-0.1097,-0.0477,-0.096,-0.1754,0.1364,0.042,Control
G02,0.1128,-0.0812,0.0116,0.5578,-0.0776,-0.119,-0.0733,0.0958,-0.0592,-0.0956,-0.0781,-0.0669,-0.079,0.0521,0.039,Control
G03,0.0909,-0.1322,-0.1014,0.8147,-0.0789,-0.1308,-0.0917,0.1138,0.0105,-0.0746,-0.1344,-0.0431,-0.1033,-0.0591,0.0712,Control
G04,0.0918,-0.0563,-0.0539,0.7431,-0.0414,-0.0778,-0.0803,0.1716,0.0066,-0.0766,-0.0667,-0.006,-0.0843,-0.025,-0.0212,BRCACancer
G05,0.0958,-0.1386,-0.0985,0.7583,-0.1658,-0.1443,-0.1054,-0.0532,-0.295,-0.1158,-0.0618,-0.03,-0.2439,0.0876,-0.0175,BRCACancer
G06,0.0994,-0.1115,-0.0058,0.7372,-0.1314,-0.0306,-0.0854,0.0666,0.0117,-0.0966,-0.1174,-0.1156,-0.1133,-0.0218,-0.014,BRCACancer
G07,0.1182,-0.1452,-0.1289,0.4788,-0.1465,-0.1197,-0.0939,0.0868,-0.0903,-0.1165,-0.0765,-0.057,-0.1363,0.0241,0.0246,Control
G08,0.071,-0.161,-0.0841,0.7152,-0.145,-0.1895,-0.1285,0.0188,-0.177,-0.1216,-0.118,-0.1406,-0.1417,0.1316,-0.0769,Control
G09,0.1091,-0.0795,-0.0403,0.6284,-0.1109,-0.1014,-0.1151,0.0211,-0.0459,-0.0955,-0.0758,-0.0421,-0.124,-0.0437,-0.0252,Control
G10,0.1844,-0.1323,0.135,0.544,-0.0824,-0.0932,-0.0523,0.0973,-0.0484,-0.0561,-0.1069,0.0521,-0.1205,0.015,0.0506,BRCACancer
G11,0.0952,-0.0747,-0.0588,0.1469,-0.1477,-0.0982,0.0045,9e-04,-0.085,-0.052,-0.0415,-0.0602,-0.0727,-0.0614,-0.0891,BRCACancer
G12,0.1287,-0.117,-0.0998,0.7118,-0.0873,-0.0965,-0.096,0.136,-0.0587,-0.065,-0.0702,-0.0588,-0.1345,-0.0849,0.0043,BRCACancer
H01,0.1132,-0.0888,-0.1863,0.4793,-0.1028,-0.0486,-0.0041,0.03,-0.0662,-0.0607,-0.1445,0.0594,-0.0724,0.0407,-0.0321,Control
H02,0.1307,-0.0501,-0.0947,0.5156,-0.0807,-0.0964,-0.0983,0.1064,-0.0011,-0.0939,-0.048,-0.0973,-0.1205,0.0103,0.0868,Control
H03,0.0906,-0.1084,-0.1494,0.4356,-0.1325,-0.115,-0.0907,-0.0014,-0.1853,-0.1245,-0.071,-0.0612,-0.1689,0.0445,0.0022,Control
H04,0.0585,-0.1277,-0.0944,0.7287,-0.1467,-0.1213,-0.0827,0.0487,-0.1213,-0.1107,-0.1424,-0.0825,-0.1522,0.0294,-0.0119,Control
H06,0.1019,-0.1032,-0.1561,0.6562,-0.1149,-0.0735,-0.0937,0.1399,-0.0039,-0.1007,-0.0864,-0.102,-0.1216,-0.0322,-0.0442,Control
H07,0.0812,-0.2367,0.0405,0.7341,-0.1029,4e-04,-0.1078,0.0255,-0.1336,-0.0853,-0.1487,-0.041,-0.1463,0.0045,-0.0067,BRCACancer
H08,0.0845,-0.1231,-0.0588,0.6761,-0.0913,-0.1262,-0.0637,0.073,-0.0099,-0.0764,-0.1139,-0.0267,-0.1362,0.1762,0.0673,BRCACancer
H09,0.1562,-0.0839,-0.0599,0.5656,-0.1085,-0.2091,-0.0874,0.0911,-0.1369,-0.1325,-0.1047,-0.0419,-0.1493,0.0329,-0.0441,BRCACancer
H10,0.095,-0.2367,0.0907,0.6729,-0.1171,-0.0221,-0.0197,-0.0252,-0.1981,-0.0723,-0.1363,-0.0119,-0.0923,0.1634,0.0178,BRCACancer
H11,0.1822,-0.1175,-0.0469,0.696,-0.0627,-0.0785,-0.081,0.0862,-0.0067,-0.0846,-0.0838,-0.0073,-0.1312,0.0991,0.0446,BRCACancer
H12,0.1205,-0.1764,0.0241,0.6425,-0.1052,-0.1118,-0.1078,0.0477,-0.129,-0.0906,-0.1101,-0.0912,-0.171,0.1011,-0.0057,BRCACancer
I01,0.0965,-0.1243,-0.0528,0.7648,-0.0658,-0.0647,-0.0972,0.1211,-0.0263,-0.1132,-0.1102,-0.0449,-0.1208,0.0464,0.0704,Control
I02,0.1158,-0.1105,-0.0852,0.5833,-0.0779,-0.1311,-0.0456,0.0634,-0.1131,-0.1001,-0.1057,0.0339,-0.1335,0.0432,0.0809,Control
I03,0.1325,-0.1382,-0.0522,0.3412,-0.1126,-0.1209,-0.0864,0.0525,-0.0591,-0.0884,-0.0792,-0.0469,-0.1177,0.0758,-0.0581,Control
I04,0.1007,-0.0769,-0.022,0.5821,-0.0343,-0.0704,-0.0887,0.1602,0.0113,-0.0749,-0.0576,-0.0353,-0.0428,0.0263,-0.0025,Control
I05,0.0913,-0.0997,-0.0937,0.6083,-0.088,-0.1103,-0.0504,0.0795,0.0035,-0.054,-0.1084,-0.0044,-0.0812,0.057,0.0286,Control
I06,0.1312,-0.0749,-0.027,0.596,-0.0393,-0.0658,-0.0503,0.1653,0.0244,-0.0778,-0.0834,-0.0603,-0.1058,0.0203,0.0274,Control
I07,0.0819,-0.1827,0.0716,1.0812,-0.0796,-0.0659,-0.1076,0.0894,0.038,-0.0877,-0.1186,-0.0027,-0.0984,-0.0402,0.0012,Control
I08,0.0931,-0.1471,-0.0588,0.8349,-0.1138,-0.1734,-0.1135,0.0539,-0.1411,-0.0865,-0.1074,-0.0421,-0.1259,0.0034,-0.018,Control
I09,0.1369,-0.1524,0.0291,0.6001,-0.0857,-0.0964,-0.0759,0.0294,-0.0831,-0.1019,-0.1182,-0.0375,-0.0884,0.0798,-0.0763,Control
I10,0.0958,-0.1244,0.0081,0.8555,-0.1323,-0.0921,-0.1197,0.091,-0.1247,-0.0824,-0.0708,-0.0341,-0.1262,-0.0228,0.0706,Control
I11,0.1609,-0.1566,-0.062,0.4013,-0.0337,-0.1004,-0.1059,0.1156,-0.0825,-0.0262,-0.0919,-0.012,-0.0947,0.2266,0.0057,Control
I12,0.1394,-0.1269,0.0223,0.5744,-0.1635,-0.1643,-0.129,0.0563,-0.1238,-0.1155,-0.0907,-0.0021,-0.1496,0.1412,0.0733,Control
I13,0.1586,-0.106,0.0017,0.6495,-0.1163,-0.1507,-0.0945,0.1093,-0.0445,-0.054,-0.0804,-0.0102,-0.0915,0.0743,-0.0018,Control
J01,0.0975,-0.0435,-0.1081,0.3824,-0.0923,-0.0607,-0.0722,0.1141,0.0016,-0.1039,-0.0315,-0.0516,-0.0824,0.0194,-0.0124,Control
J02,0.1265,-0.0118,-0.0551,0.5804,-0.0861,-0.058,-0.1042,0.155,-0.038,-0.0632,-0.0819,0.0271,-0.0944,-0.027,0.0142,Control
J03,0.1025,-0.0956,-0.1034,0.7191,-0.1014,-0.0866,-0.1014,0.1379,0.0082,-0.0747,-0.0943,-0.0213,-0.1428,0.0387,-0.0051,Control
J04,0.1231,-0.117,-0.0521,0.6982,-0.1241,-0.1516,-0.1082,0.1212,0.0379,-0.1167,-0.0967,-0.0215,-0.1277,0.0501,0.0519,Control
J05,0.0838,-0.2638,-0.2009,0.8438,-0.1322,-0.0943,-0.0729,1e-04,-0.1719,-0.1158,-0.1664,-0.024,-0.141,0.0621,-0.0353,Control
J06,0.1886,-0.152,0.0157,0.8652,-0.061,-0.1028,-0.0739,0.088,-0.1011,-0.0853,-0.1055,0.0342,-0.0815,0.1977,0.0947,Control
J07,0.1249,-0.104,0.0212,0.9141,-0.1159,-0.1445,-0.072,0.1167,0.0132,-0.0955,-0.0866,-0.0587,-0.1016,-0.0204,-0.0058,Control
J08,0.1296,-0.1528,0.0319,0.7608,-0.0656,0.0535,-0.1009,0.0341,-0.0799,-0.0733,-0.1509,0.0168,-0.098,-0.0245,0.0895,Control
J09,0.0649,-0.1785,0.0705,0.9601,-0.1202,-0.1396,-0.057,0.0377,-0.1694,-0.0554,-0.0706,0.0089,-0.1132,0.0212,-0.0094,Control
J10,0.0973,-0.1402,0.138,0.9428,-0.1408,-0.1606,-0.112,0.1044,-0.0969,-0.1256,-0.1576,-0.0295,-0.1481,-0.0063,-0.0166,Control
J11,0.1123,-0.104,0.016,0.7427,-0.0741,-0.1135,-0.0743,0.0769,-0.0698,-0.0784,-0.1139,-0.0862,-0.1142,-0.044,-0.035,Control
J12,0.0995,-0.127,-0.0702,0.7381,-0.1295,-0.1982,-0.1392,0.0731,-0.121,-0.1192,-0.0435,-0.0372,-0.1665,0.1221,-0.0989,Control
K01,0.1265,-0.1567,0.0224,1.0141,-0.0734,-0.0664,-0.0834,0.1802,0.0315,-0.069,-0.116,0.0034,-0.0993,0.0302,0.0326,BRCACancer
K02,0.1169,-0.1271,0.055,0.9196,-0.0733,-0.136,-0.1228,0.1095,-0.0064,-0.0909,-0.0977,-0.0062,-0.106,0.0419,0.0453,BRCACancer
K03,0.0681,-0.1298,-0.0115,0.6797,-0.139,-0.1541,-0.0935,-0.0058,-0.2503,-0.1325,-0.0898,-0.0474,-0.1979,0.0927,-0.0099,BRCACancer
K04,0.0745,-0.1023,0.0525,0.7231,-0.1196,-0.0773,-0.1075,0.1092,-0.0555,-0.1262,-0.0894,-0.0232,-0.1506,0.0348,-0.0639,BRCACancer
K05,0.1213,-0.0801,0.0615,0.7516,-0.095,-0.1099,-0.0944,0.1738,0.0024,-0.0975,-0.106,0.0133,-0.108,0.0081,0.0273,Control
AA3226,0.0808,-0.0862,-0.1156,0.3971,-0.1267,-0.1279,-0.11,0.0631,-0.1144,-0.0997,-0.0847,-0.043,-0.1566,0.0902,-0.0105,Control
AB3227,0.0865,-0.1264,-0.1454,0.7109,-0.1065,-0.0615,-0.079,0.0854,-0.0997,-0.1057,-0.111,-0.0234,-0.1109,0.0475,0.0321,Control
AC3228,0.1623,-0.1633,0.1202,0.6826,-0.0488,-0.0047,-0.0254,0.1882,0.0205,-0.0384,-0.1601,0.0312,-0.063,0.0739,0.0463,Control
AD3231,0.1419,-0.1437,-0.046,0.812,-0.1362,-0.1386,-0.0613,0.1275,-0.0333,-0.0349,-0.1268,-0.0498,-0.1041,0.0503,-0.0056,Control
AE1543,0.1134,-0.1469,-0.0838,0.7132,-0.1334,-0.0189,-0.0781,0.0322,-0.1299,-0.0995,-0.0583,-0.102,-0.146,0.0916,-0.0792,Control
AF3229,0.0632,-0.0993,-0.0747,0.4585,-0.1007,-0.1698,-0.0804,0.0784,-0.1934,-0.0987,-0.0375,-0.0366,-0.1182,0.0294,0.1028,Control
AG3230,0.078,-0.1151,0.0533,0.6197,-0.1196,-0.0932,-0.1008,0.0676,-0.1607,-0.0945,-0.0904,-0.046,-0.1634,0.032,-0.0327,Control
AH3232,0.0805,-0.0946,-0.1056,0.5752,-0.1609,-0.1746,-0.1113,0.0408,-0.1896,-0.1323,-0.1193,-0.0495,-0.143,-0.0787,-0.0272,Control
AI3233,0.1224,-0.1284,-0.0359,0.934,-0.0897,-0.1211,-0.094,0.1109,-0.0899,-0.0764,-0.0923,-0.0413,-0.0966,2e-04,0.0338,Control
AJ3234,0.0746,-0.148,-0.0152,0.779,-0.0933,-0.1604,-0.0827,0.061,-0.1384,-0.0983,-0.0921,-0.0013,-0.0961,0.0554,-0.0154,Control
AK3235,0.1808,-0.1894,-0.017,0.9351,-0.0447,-0.1173,-0.0101,0.2206,0.0251,-0.0364,-0.1704,-0.0196,-0.075,0.1397,0.1409,Control
AL3236,0.0978,-0.1773,-0.0191,0.7343,-0.1243,-0.0138,-0.0212,0.0346,-0.1026,-0.0673,-0.0951,0.0228,-0.1267,0.108,-0.0353,Control
