@relation data

@attribute id string
@attribute 8517 numeric
@attribute 1147 numeric
@attribute 2033 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 3551 numeric
@attribute 8841 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 8772 numeric
@attribute 1387 numeric
@attribute 8737 numeric
@attribute 4790 numeric
@attribute 8717 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
E05,0.1775,0.9936,1.6234,1.2875,0.0401,0.8801,0.6845,0.9031,0.6313,0.607,1.149,1.2325,1.3495,0.7674,1.567,Control
E06,-1e-04,0.8472,1.535,0.9001,0.1308,0.7814,0.5519,0.9337,0.5298,0.3452,1.0223,1.0276,1.0716,0.4593,1.6602,BRCACancer
E07,0.4233,1.0818,1.8181,1.4829,0.1528,0.9383,0.7265,1.3345,0.6981,0.6035,1.2683,1.2041,1.2172,1.0913,2.1813,BRCACancer
E08,0.3686,1.2624,1.7871,1.4912,0.4305,0.8851,0.6997,1.3684,0.7796,0.8355,1.2895,1.4126,1.3232,1.211,2.1859,Control
E09,0.3825,1.0022,1.7084,1.4,0.3257,0.7655,0.6155,1.3939,0.7972,0.8135,1.2887,1.167,1.1578,1.0345,2.0634,BRCACancer
E10,0.2686,1.3073,1.9777,1.366,0.3889,1.0087,0.7463,1.2857,0.7862,0.6543,1.4734,1.4495,1.4907,0.934,2.0758,BRCACancer
E11,0.2381,1.0224,1.4668,1.3399,0.237,0.7261,0.4974,1.0122,0.6948,0.665,1.0671,1.1616,1.0414,0.8908,1.7666,Control
E12,0.1177,0.889,1.2999,1.0812,-0.0115,0.5921,0.4269,0.8695,0.6,0.3509,0.878,0.9621,0.8968,0.6697,1.7294,BRCACancer
F01,0.3478,1.2517,1.9923,1.5474,0.5544,1.0426,0.7201,1.2744,0.8464,0.8196,1.5042,1.3392,1.5031,1.2515,2.2189,Control
F02,0.4177,1.2665,1.8104,1.5494,0.3655,1.0751,0.8047,1.3559,0.887,0.8607,1.3825,1.4829,1.5101,1.1744,2.1054,Control
F03,0.3473,1.1803,1.6432,1.454,0.6351,0.8896,0.622,1.3283,0.8112,0.8139,1.203,1.2568,1.0619,0.8601,1.9609,Control
F04,0.2265,1.3316,1.9567,1.3218,0.3297,1.0323,0.6841,1.4205,0.7467,0.6139,1.4245,1.2728,1.4054,1.0302,1.8628,Control
F05,0.3296,1.2004,1.6885,1.3947,0.3191,0.93,0.717,1.2076,0.7266,0.7052,1.2224,1.3855,1.3073,0.9852,2.2765,Control
F06,0.4244,1.0639,1.5209,1.1519,0.195,0.7377,0.5241,1.15,0.6804,0.634,1.0151,1.0243,1.1361,0.6421,1.9825,Control
F07,0.3623,1.1147,1.8466,1.4312,0.3978,1.091,0.6326,1.117,0.756,0.794,1.4566,1.3442,1.634,1.0294,1.9604,Control
F09,0.4806,1.3954,1.795,1.6135,0.401,1.0589,0.8691,1.5184,0.8907,0.9495,1.3906,1.4982,1.5755,1.1165,2.6174,Control
F10,0.4365,1.2795,1.9125,1.5639,0.522,1.1043,0.8645,1.5365,0.8845,0.8804,1.4589,1.5503,1.6122,1.1821,2.2643,Control
F11,0.4341,1.2188,1.7039,1.468,0.489,0.8456,0.6499,1.5357,0.7774,0.9351,1.2694,1.2633,1.1777,1.0297,2.1009,Control
F12,0.2645,1.2852,1.8343,1.2229,0.3205,1.0796,0.6158,1.2795,0.8032,0.6372,1.3727,1.3523,1.5469,0.7914,1.8741,Control
