@relation data

@attribute id string
@attribute 55157 numeric
@attribute 79587 numeric
@attribute 5917 numeric
@attribute 6301 numeric
@attribute 57176 numeric
@attribute 51067 numeric
@attribute 16 numeric
@attribute 7453 numeric
@attribute 7965 numeric
@attribute 2193 numeric
@attribute 3035 numeric
@attribute 54938 numeric
@attribute 57038 numeric
@attribute 4677 numeric
@attribute 23395 numeric
@attribute 9521 numeric
@attribute 10056 numeric
@attribute 57505 numeric
@attribute 8565 numeric
@attribute 79731 numeric
@attribute 2617 numeric
@attribute 3735 numeric
@attribute 55699 numeric
@attribute 10352 numeric
@attribute 51520 numeric
@attribute 7407 numeric
@attribute 9255 numeric
@attribute 25973 numeric
@attribute 3376 numeric
@attribute 833 numeric
@attribute 92935 numeric
@attribute 80222 numeric
@attribute 6897 numeric
@attribute 1615 numeric
@attribute 23438 numeric
@attribute 5859 numeric
@attribute 124454 numeric
@attribute 4141 numeric
@attribute 10667 numeric
@attribute 2058 numeric
@attribute Class {Control,BRCACancer}

@data
D02,0.4376,0.4473,0.8723,1.4859,0.1707,0.5739,0.839,1.5275,0.8448,1.2451,0.7174,0.2391,0.6229,0.5611,0.2926,0.1743,0.5963,0.2829,0.7451,0.202,1.2043,0.3441,1.041,0.0765,1.3856,0.4922,0.5952,0.5935,1.1337,0.3868,0.7555,0.4531,0.9458,0.9056,0.7204,1.6152,0.2088,1.1222,0.0401,1.309,BRCACancer
D03,0.4043,0.4426,0.768,1.412,0.1694,0.4171,0.7885,1.6311,0.8027,1.2041,0.6107,0.2266,0.5325,0.5479,0.2642,9e-04,0.4552,0.2824,0.7424,0.0892,1.018,0.3399,0.9749,0.001,1.1967,0.4769,0.5598,0.4393,0.9714,0.3716,0.7485,0.4694,0.8331,0.7812,0.6526,1.5145,0.0237,1.1788,0.0639,1.2353,BRCACancer
D04,0.4647,0.5329,1.0429,1.4875,0.1954,0.6423,0.792,1.5951,0.8213,1.1987,0.7867,0.2768,0.623,0.6181,0.2883,0.1683,0.5845,0.2437,0.6963,0.1305,1.2383,0.3917,1.097,0.0744,1.4238,0.5512,0.7544,0.4649,1.1008,0.4844,0.8161,0.5438,0.9744,0.8206,0.9022,1.5822,0.1115,1.2933,0.0886,1.2329,BRCACancer
D05,0.5323,0.5022,1.1374,1.6047,0.2396,0.5534,0.8206,1.7306,0.8612,1.1746,0.8755,0.2523,0.6692,0.6428,0.359,0.1181,0.6073,0.3719,0.8928,0.1175,1.3539,0.3333,1.1905,0.1658,1.4238,0.4839,0.7701,0.633,1.0166,0.4442,0.7786,0.6014,1.0241,0.8919,0.8146,1.715,0.1173,1.2806,0.1341,1.3781,BRCACancer
D06,0.621,0.6579,1.2261,1.705,0.2555,0.8095,1.136,1.4661,0.9375,1.3163,1.0326,0.3732,0.7771,0.7534,0.4622,0.2757,0.7476,0.4929,0.9812,0.2185,1.3985,0.4698,1.3688,0.144,1.6863,0.5795,0.9301,0.7763,1.3385,0.5886,1.0692,0.6381,1.1693,0.9711,0.8928,1.7098,0.2422,1.4522,0.0826,1.4546,BRCACancer
D07,0.4928,0.5468,1.1025,1.6617,0.2715,0.7443,0.9179,1.6003,0.7898,1.3008,0.8821,0.308,0.7015,0.687,0.3611,0.1358,0.5173,0.4719,0.8647,0.1886,1.2774,0.3918,1.208,0.1247,1.4167,0.5155,0.8012,0.6145,1.2188,0.5317,0.909,0.5778,1.0223,0.9136,0.8932,1.6795,0.1478,1.4211,0.0639,1.3956,Control
D08,0.3185,0.3851,0.8486,1.3451,0.2118,0.4427,0.7091,1.5485,0.644,1.1395,0.6663,0.1796,0.5011,0.5108,0.2288,0.0267,0.4103,0.2805,0.6705,0.0623,1.0612,0.3157,0.8769,0.0827,1.1346,0.3347,0.7152,0.3844,0.97,0.3326,0.4866,0.4499,0.8564,0.7764,0.5246,1.4617,0.0275,1.1402,0.0547,1.0784,Control
D09,0.5672,0.4487,1.1664,1.5678,0.2092,0.5449,0.9437,1.5094,0.9299,1.2322,0.8982,0.2697,0.6645,0.598,0.3925,0.1672,0.6165,0.4083,0.8557,0.1611,1.3049,0.4163,1.2635,0.1103,1.6376,0.5083,0.8086,0.6916,1.192,0.4909,0.8375,0.6253,1.0685,0.9745,0.7688,1.7312,0.2045,1.3003,0.0775,1.47,Control
D10,0.507,0.4497,1.2298,1.4702,0.0804,0.7083,1.009,1.6797,1.3376,1.4231,0.8272,0.2385,0.6319,0.5419,0.3028,0.1119,0.5685,0.0962,0.7456,0.2286,1.2113,0.313,1.1352,0.1242,1.1976,0.3645,0.6882,0.5161,1.1194,0.4539,0.6538,0.4444,1.0636,0.7713,0.6221,1.671,0.1097,1.1946,0.0602,1.238,Control
D11,0.1434,0.2239,0.4656,1.0288,0.0206,0.0518,0.278,0.8815,0.3377,0.8243,0.3435,0.1017,0.3369,0.3339,0.1062,-0.1602,0.2649,-0.0659,0.3351,-0.0299,0.6142,0.2906,0.5804,-0.1137,0.5337,0.0182,0.3108,0.3555,0.5695,0.1529,0.2101,0.2376,0.4048,0.4572,0.2767,0.9471,-0.078,0.6677,-0.0528,0.7231,Control
