@relation data

@attribute id string
@attribute 113612 numeric
@attribute 123745 numeric
@attribute 124975 numeric
@attribute 151056 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1571 numeric
@attribute 1573 numeric
@attribute 1579 numeric
@attribute 2053 numeric
@attribute 239 numeric
@attribute 240 numeric
@attribute 242 numeric
@attribute 246 numeric
@attribute 247 numeric
@attribute 257202 numeric
@attribute 26279 numeric
@attribute 2678 numeric
@attribute 2686 numeric
@attribute 2687 numeric
@attribute 27306 numeric
@attribute 284541 numeric
@attribute 2876 numeric
@attribute 2877 numeric
@attribute 2878 numeric
@attribute 2880 numeric
@attribute 2882 numeric
@attribute 30814 numeric
@attribute 391013 numeric
@attribute 4048 numeric
@attribute 4051 numeric
@attribute 4056 numeric
@attribute 50487 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5730 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 57834 numeric
@attribute 64600 numeric
@attribute 6916 numeric
@attribute 80142 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8529 numeric
@attribute 8681 numeric
@attribute 873 numeric
@attribute 874 numeric
@attribute 9536 numeric
@attribute Class {Control,BRCACancer}

@data
B09,0.2155,0.043,0.0816,0.1457,-0.3821,-0.1422,-0.0955,-0.0722,-0.1348,-0.1122,-0.139,-0.1991,0.4093,1.0299,1.3834,-0.0142,0.0404,-0.1309,-0.0234,0.2552,0.0555,0.1451,0.0318,-0.0255,-0.2311,0.7641,0.1038,-0.085,-0.0905,0.5021,0.0909,-0.0401,1.3283,0.0408,-0.1713,-0.0178,0.1201,-0.0757,0.2316,-0.2273,0.0958,-0.0134,1.3857,0.1845,-0.0775,-0.0685,0.859,0.3833,0.4485,0.3119,0.0588,-0.0234,-0.0458,0.4069,0.2614,-0.0123,0.0775,Control
B10,0.2415,-0.0215,0.1376,0.1779,-0.1925,-0.0635,-0.1409,-0.1132,-0.1478,-0.1499,-0.0474,-0.1205,0.4146,0.6352,1.0938,-0.0402,0.0035,-0.0691,-0.09,0.1511,-0.0432,0.0282,0.0856,0.038,-0.2319,0.5644,-0.0317,-0.1314,-0.121,0.5383,-0.0112,-0.0205,1.8581,0.0801,-0.0607,-0.0739,0.1098,-0.0338,0.3194,-0.0853,0.3108,-0.0624,0.9099,0.4226,-0.1333,0.0395,0.8346,0.3017,0.3345,0.1911,-0.0541,-0.0028,-0.1219,0.277,0.1474,-0.0067,-0.135,Control
B11,0.3461,0.0048,0.0715,0.2047,-0.118,-0.0582,-0.1465,-0.0763,-0.0913,-0.0522,-0.0562,-0.1181,0.463,1.3469,1.4867,-0.0248,0.0654,0.0435,-0.0908,0.0119,-0.0826,0.1468,0.1695,0.0153,-0.0632,1.065,-0.121,-0.009,-0.1517,0.5955,0.0645,0.0028,2.3205,0.2229,0.0055,0.0629,-0.0377,-0.053,0.4621,-0.0743,0.2246,-0.0111,1.5591,0.5094,-0.1301,0.0193,0.659,0.3658,0.3626,0.208,-0.1232,-0.0584,-0.0812,0.3641,0.4134,0.2448,0.0211,Control
B12,0.1244,0.0244,-0.0061,0.1005,-0.1328,-0.1063,-0.1002,-0.1045,-0.1404,-0.1257,-0.0993,-0.1799,0.4474,0.3857,1.1544,-0.1433,-0.0351,-0.0446,0.0017,0.1629,-0.1478,0.1453,0.0955,-0.084,-0.2398,1.1666,-0.1055,-0.0278,-0.0082,0.2604,-0.1675,-0.055,1.3729,0.2846,-0.0751,0.0025,-0.0112,0.0513,0.2175,-0.2378,-0.0539,0.0423,0.6438,0.2902,-0.1365,-0.0343,0.7205,0.3934,0.3669,0.2393,-0.1804,-0.1117,-0.1196,0.4004,0.0575,0.0541,-0.1226,Control
C01,0.4244,-0.017,0.0573,0.2794,-0.3591,-0.0676,-0.1269,-0.0797,-0.1286,-0.0781,-0.073,-0.0688,0.4637,0.8991,1.7616,-0.0506,-0.0108,0.011,-0.0785,0.0197,-0.0599,0.2756,0.0598,-0.0635,-0.2793,1.2025,-0.0104,0.005,-0.091,0.8531,0.007,-0.086,2.3789,0.1017,-0.0862,0.0108,-0.0383,0.0169,0.4567,-0.1872,0.4962,-0.0562,1.4746,0.7927,-0.1665,0.0274,0.9932,0.6663,0.4588,0.4229,0.0364,-0.114,-0.1448,0.6309,0.4924,0.0333,0.1456,BRCACancer
C02,0.5413,0.0237,0.0708,0.2077,-0.234,-0.117,-0.137,-0.0852,-0.1383,-0.0109,-0.0971,-0.1801,0.6335,1.1133,1.4283,0.0386,-0.0149,0.0398,-0.0568,0.3081,-0.0233,0.2684,0.1176,-0.0195,-0.2309,1.1396,0.0061,-0.0141,-0.058,0.8812,-0.0853,-0.013,1.9568,0.0476,0.0795,0.0293,-0.0597,-0.0043,0.4081,-0.138,0.4473,-0.0037,1.497,0.6689,-0.1128,0.006,0.4836,0.6537,0.458,0.4549,0.0228,-0.1225,-0.0291,0.5742,0.5278,0.0911,0.0591,BRCACancer
C03,0.497,0.0053,0.0217,0.2172,-0.2628,0.0491,-0.0993,-0.1578,-0.1232,-0.0545,-0.1219,-0.1269,0.5041,1.0951,1.6733,-0.032,-0.1067,-0.0358,-0.0527,0.1911,-0.0928,0.3525,0.0847,-0.0193,-0.139,1.1473,-0.0223,0.0715,-0.0808,1.0779,0.0395,-0.0135,2.0124,0.0952,0.095,0.0304,-0.0942,0.0502,0.3978,-0.13,0.3006,-0.1224,1.4234,0.4772,-0.1396,-0.0656,0.7158,0.7531,0.4667,0.6158,0.0953,-0.1151,-0.0717,0.8739,0.6235,0.124,0.1299,BRCACancer
C04,0.1856,0.0553,0.1917,0.0524,-0.2191,0.1529,-0.157,0.0448,-0.0827,-0.0564,-0.0068,-0.2401,0.3396,1.2912,1.2503,-0.0114,-0.1117,0.0819,-0.1502,0.3182,-0.0197,0.1554,0.2646,-0.0804,-0.228,1.0685,-0.0898,-0.0323,-0.1054,0.4395,-0.1499,-0.157,1.8468,0.2306,0.0662,0.0079,0.078,0.0492,0.2326,-0.0986,0.2345,0.0181,1.9592,0.3372,-0.1224,0.0217,0.3026,0.529,0.2817,0.1994,-0.3073,-0.1642,-0.1454,0.3449,0.3686,0.0275,-0.0691,Control
C05,0.2876,0.0793,0.1248,0.1241,-0.0931,-0.084,-0.1187,0.0485,-0.1151,-0.0429,-0.079,-0.3349,0.3594,0.3308,1.1412,-0.0503,0.0336,0.0519,-0.1074,0.2786,-0.0283,0.1652,0.1932,0.0134,-0.345,0.5179,-0.1058,-0.0589,-0.0852,0.6513,-0.0632,-0.0687,1.9186,0.2549,0.1285,0.0486,-0.0165,0.0356,0.1562,-0.1736,0.2429,-0.0426,0.8639,0.4733,-0.1088,-0.0232,0.3449,0.4676,0.1701,0.2136,-0.2927,-0.0243,-0.1041,0.3363,0.3745,0.1192,0.0567,BRCACancer
C06,-0.1374,0.0622,0.1766,-0.0132,-0.2323,-0.2364,-0.1637,0.0406,-0.2273,-0.0067,-0.0766,-0.3575,0.2245,0.1818,0.3973,0.0902,0.2035,0.0727,-0.0543,0.2216,-0.0201,-0.051,0.0887,-0.0108,-0.1053,0.5775,0.0783,0.0072,-0.0849,0.3117,-0.0269,0.0159,0.5014,0.1718,-0.2022,0.2149,0.0609,0.1057,-0.0355,-0.0934,-0.0176,-0.1023,0.4114,0.2145,-0.0447,-0.0651,0.1693,0.0835,-0.0142,0.0512,-0.049,0.0976,0.4175,0.0241,0.055,-0.0766,0.391,Control
