@relation data

@attribute id string
@attribute 10309 numeric
@attribute 8930 numeric
@attribute 4350 numeric
@attribute 23583 numeric
@attribute 4913 numeric
@attribute 5423 numeric
@attribute 328 numeric
@attribute 4968 numeric
@attribute 7515 numeric
@attribute 4595 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute Class {Control,BRCACancer}

@data
D12,-0.0164,0.8332,0.3693,0.3279,0.0197,0.299,1.0609,0.2385,0.6662,0.1278,0.2984,0.6254,Control
E01,-0.1139,1.0297,0.3573,0.1549,0.0295,0.3901,0.9502,0.2405,0.6123,0.1581,0.248,0.6068,BRCACancer
E02,0.0127,1.5044,0.4099,0.2974,0.1766,0.6283,1.1903,0.4234,0.8603,0.2101,0.5513,0.8271,Control
E03,0.1394,1.2775,0.3793,0.383,0.0801,0.5008,1.3131,0.3118,0.9632,0.1934,0.3749,0.8144,Control
E04,0.0384,1.5473,0.379,0.3518,0.1696,0.6141,1.3314,0.4863,0.9392,0.2973,0.5268,0.8601,Control
E05,0.0017,1.4501,0.2937,0.3376,-0.0468,0.5062,1.1818,0.3597,0.7163,0.2532,0.3684,0.69,Control
E06,-0.0396,1.0234,0.116,0.3133,-0.1888,0.5664,0.7852,0.2649,0.5111,0.206,0.4668,0.6216,BRCACancer
E07,-0.0322,1.5471,0.4385,0.3678,0.0531,0.5564,1.2078,0.4374,0.918,0.1809,0.4614,0.7645,BRCACancer
E08,-0.0276,1.4034,0.4374,0.4089,-0.0082,0.5749,1.2488,0.3638,0.9963,0.1969,0.4082,0.8897,Control
E09,-0.0351,1.1997,0.4606,0.3651,0.1325,0.5009,1.1651,0.2815,0.8597,0.1857,0.5128,0.7876,BRCACancer
E10,0.0212,1.6287,0.3549,0.4602,0.0271,0.683,1.1664,0.475,0.9033,0.2343,0.6048,0.958,BRCACancer
E11,0.087,1.1403,0.3298,0.2526,0.0611,0.3007,0.948,0.3261,0.6929,0.1562,0.2667,0.6381,Control
E12,-0.0985,0.8733,0.3572,0.2464,-0.0314,0.3579,0.8238,0.1674,0.5475,0.083,0.3496,0.5641,BRCACancer
F01,0.0236,1.4389,0.3471,0.414,0.047,0.6799,1.6008,0.4435,1.02,0.3061,0.7189,1.0022,Control
F02,0.0347,1.5832,0.4111,0.5014,0.1299,0.6805,1.5386,0.5323,0.9165,0.359,0.6469,0.9982,Control
F03,0.0892,1.364,0.403,0.3512,0.0766,0.4968,1.4296,0.4844,0.7237,0.2456,0.4409,0.829,Control
F04,-0.0441,1.2088,0.2994,0.431,-0.0512,0.5309,1.4114,0.3844,0.7802,0.2348,0.7976,0.9079,Control
F05,0.0227,1.4505,0.3667,0.3586,0.04,0.6187,1.5403,0.4514,0.8427,0.2465,0.5443,0.8528,Control
F06,0.088,1.0002,0.4003,0.2984,-0.0362,0.4242,1.0452,0.3194,0.7868,0.1618,0.4621,0.65,Control
F07,0.0033,1.3976,0.423,0.3856,-0.0344,0.5777,1.4682,0.3666,0.8574,0.2936,0.5066,0.8861,Control
F09,-0.047,1.7227,0.422,0.442,0.1983,0.8109,1.818,0.5859,1.0892,0.3057,0.6622,1.0926,Control
F10,0.0415,1.6603,0.3792,0.4569,0.1374,0.7644,1.4316,0.626,1.0079,0.2805,0.5474,0.9732,Control
F11,0.0536,1.2812,0.39,0.3443,0.063,0.4987,1.2331,0.4332,0.8626,0.2122,0.4021,0.8032,Control
F12,-0.0111,1.2575,0.3003,0.4154,-0.0431,0.6973,1.1993,0.3741,0.7699,0.1599,0.6321,0.8858,Control
G01,-0.079,1.0823,0.3313,0.3633,-0.0043,0.5708,1.1697,0.4364,0.8439,0.1759,0.4484,0.784,Control
G02,-0.0639,1.1932,0.3672,0.2863,0.0025,0.4085,1.2662,0.268,0.7851,0.213,0.3929,0.7292,Control
G03,0.0359,1.6761,0.3889,0.4323,0.1158,0.8204,1.5556,0.5186,1.0093,0.3205,0.7539,0.9619,Control
G04,0.0545,1.5432,0.3618,0.2449,0.0984,0.6002,1.3823,0.5081,0.8876,0.2883,0.3555,0.8475,BRCACancer
G05,-0.1066,0.8451,0.263,0.3106,-0.0431,0.2871,0.9216,0.2194,0.5606,0.095,0.2969,0.7027,BRCACancer
G06,-0.0252,1.356,0.2836,0.3944,-0.0734,0.7138,0.9799,0.408,0.7398,0.248,0.4404,0.8302,BRCACancer
G07,0.0829,1.2537,0.2496,0.3887,-0.0263,0.42,1.4038,0.3145,0.8013,0.2208,0.4563,0.8101,Control
G08,-0.07,1.5495,0.3584,0.4022,0.0577,0.6602,1.4363,0.4486,0.9223,0.2242,0.6191,1.0224,Control
G09,0.0166,1.0355,0.4108,0.2179,-0.0208,0.4144,1.006,0.1841,0.5746,0.1577,0.372,0.5976,Control
G10,0.0428,0.924,0.2194,0.3087,-0.0882,0.4801,0.8653,0.3136,0.5099,0.1805,0.4515,0.5535,BRCACancer
G11,-0.296,0.5492,0.2624,0.3297,-0.1158,0.2567,0.8783,-0.039,0.3808,0.1017,0.4757,0.6176,BRCACancer
G12,0.0044,1.2827,0.3303,0.4017,-0.1028,0.5292,0.9931,0.4169,0.7347,0.2036,0.366,0.8107,BRCACancer
H01,-0.0549,0.8356,0.2162,0.1229,-0.0736,0.4909,1.1114,0.2766,0.6012,0.1179,0.3811,0.5274,Control
H02,0.0611,1.008,0.4461,0.4596,0.0608,0.4012,1.3244,0.2672,0.8901,0.1886,0.3724,0.6945,Control
H03,-0.0336,1.2159,0.2331,0.2843,-0.0198,0.3021,1.1858,0.2747,0.6938,0.1607,0.4742,0.8117,Control
H04,-0.1343,1.3738,0.3621,0.4381,-0.029,0.4748,1.6308,0.4093,0.922,0.3072,0.5992,1.0535,Control
H06,0.0556,1.1689,0.4348,0.3528,0.0576,0.5072,1.1358,0.3362,0.8544,0.2071,0.4765,0.8397,Control
H07,-0.0479,1.2329,0.1923,0.4243,-0.143,0.5917,1.299,0.327,0.7483,0.2162,0.5656,0.8543,BRCACancer
H08,-0.0798,1.0704,0.306,0.3358,-0.0125,0.3723,0.8589,0.289,0.6146,0.1936,0.5489,0.5888,BRCACancer
H09,0.0219,0.5787,0.3205,0.2324,-0.0609,0.3781,0.5104,0.2554,0.2783,0.1969,0.5652,0.5406,BRCACancer
H10,-0.0827,1.0557,0.2931,0.2868,-0.1389,0.4793,0.8904,0.2988,0.4139,0.2212,0.5198,0.5984,BRCACancer
H11,0.0416,1.3905,0.27,0.2991,-0.0547,0.527,0.9675,0.3505,0.5779,0.2647,0.4482,0.5965,BRCACancer
H12,-0.0204,1.5048,0.3868,0.4627,-0.0497,0.739,1.3276,0.4662,0.8067,0.2652,0.7026,0.9984,BRCACancer
I01,0.009,1.4842,0.417,0.2864,-0.0465,0.7149,0.865,0.4373,0.8857,0.2538,0.6259,0.8567,Control
I02,-0.0047,1.0167,0.2987,0.19,0.012,0.5393,0.7497,0.3017,0.5433,0.1566,0.4429,0.6559,Control
I03,0.0134,0.8802,0.2997,0.2815,0.0441,0.3125,0.779,0.2077,0.5962,0.1597,0.4765,0.5303,Control
I04,0.0399,1.4583,0.4476,0.3368,0.1579,0.6153,1.4078,0.5377,0.9968,0.2558,0.5633,0.9542,Control
I05,0.0839,1.1421,0.4884,0.3596,0.1541,0.4576,1.2836,0.3571,0.9847,0.2521,0.3961,0.8604,Control
I06,0.0916,1.3954,0.3946,0.2341,0.016,0.5219,1.2387,0.3436,0.834,0.2791,0.4776,0.9193,Control
I07,-0.0229,1.668,0.4202,0.4641,0.1606,0.818,1.273,0.6031,1.1033,0.3599,0.7,1.0662,Control
I08,-0.0042,1.8227,0.35,0.3166,-0.0247,0.8127,1.3201,0.5856,0.8293,0.3631,0.5362,0.9089,Control
I09,-0.0882,1.1378,0.2749,0.4014,-0.0739,0.4811,1.1858,0.2745,0.7265,0.1529,0.4637,0.7813,Control
I10,-0.0532,1.7574,0.3108,0.4051,0.0781,0.833,1.4992,0.4961,0.9472,0.2709,0.8231,0.9503,Control
I11,0.003,0.9783,0.2534,0.2292,-0.0466,0.429,0.6206,0.3441,0.5541,0.199,0.1758,0.4627,Control
I12,-0.0766,1.3553,0.2109,0.3398,0.0092,0.5174,1.2819,0.3363,0.8003,0.2386,0.5165,0.8052,Control
