@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__H06,-0.0754,Control
Utah__H07,-0.014,BRCACancer
Utah__H08,0.0103,BRCACancer
Utah__H09,0.0682,BRCACancer
Utah__H10,0.1035,BRCACancer
Utah__H11,-0.0114,BRCACancer
Utah__H12,0.0543,BRCACancer
Utah__I01,0.0063,Control
Utah__I02,0.0398,Control
Utah__I03,0.0541,Control
Utah__I04,0.005,Control
Utah__I05,-1e-04,Control
Utah__I06,-0.0805,Control
Utah__I07,-0.0722,Control
Utah__I08,0.0959,Control
Utah__I09,0.1111,Control
Utah__I10,-0.0145,Control
Utah__I11,-0.0778,Control
Utah__I12,0.0123,Control
Utah__I13,5e-04,Control
Utah__J01,0.0512,Control
Utah__J02,0.064,Control
Utah__J03,-0.0697,Control
Utah__J04,0.0165,Control
Utah__J05,-0.0023,Control
Utah__J06,-0.0162,Control
Utah__J07,-0.0659,Control
Utah__J08,-0.1319,Control
Utah__J09,0.1229,Control
Utah__J10,-0.0806,Control
Utah__J11,-0.0859,Control
Utah__J12,0.0959,Control
Utah__K01,-0.081,BRCACancer
Utah__K02,-0.0501,BRCACancer
Utah__K03,0.0078,BRCACancer
Utah__K04,-0.0601,BRCACancer
Utah__K05,-0.0291,Control
Ontario__AA_RR-849,-0.0576,BRCACancer
Ontario__AE_RR-3300,-0.042,Control
Ontario__AF_RR-3276,-0.0263,Control
Ontario__AG_RR-3298,-0.0493,Control
Ontario__AH_RR-3295,0.1522,Control
Ontario__AI_RR-3291,-0.054,Control
Ontario__AJ_RR-3296,0.0117,Control
Ontario__AM_RR-1949,0.0809,Control
Ontario__AN_RR-3297,-0.073,Control
Ontario__AO_RR-3288,-0.0227,Control
Ontario__AP_RR-3280,0.0134,Control
Ontario__AR_RR-3278,0.0274,Control
Ontario__AS_RR-3277,-0.0222,Control
Ontario__A_RR96-12,-0.1011,BRCACancer
Ontario__B_RR-1519,-0.0706,BRCACancer
Ontario__C_RR-3293,-0.0336,BRCACancer
Ontario__D_RR-3301,0.0044,BRCACancer
Ontario__E_RR-2070,0.0265,BRCACancer
Ontario__J_RR-1226,0.1047,BRCACancer
Ontario__K_RR-3290,-0.0233,Control
Ontario__L_RR-3286,-0.1148,Control
Ontario__N_RR-3294,-0.0614,Control
Ontario__O_RR-3285,-0.0225,Control
Ontario__P_RR-3274,0.1043,Control
Ontario__Q_RR-3283,0.0293,Control
Ontario__RR-3275,-0.0282,Control
Ontario__RR-3281,0.046,Control
Ontario__RR-3287,0.0609,BRCACancer
Ontario__RR-3289,-0.1379,Control
Ontario__RR-3299,0.1219,BRCACancer
Ontario__T_RR-3292,0.0445,Control
Ontario__U_RR-2236,-0.084,BRCACancer
Ontario__V_RR-1455,-0.1325,BRCACancer
Ontario__W_RR-922,-0.0267,BRCACancer
Ontario__X_RR-1083,0.0508,BRCACancer
Ontario__Y_RR-841,0.0703,BRCACancer
Ontario__Z_RR-778,-0.0201,BRCACancer
