@relation data

@attribute id string
@attribute 10257 numeric
@attribute 10599 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 1080 numeric
@attribute 10864 numeric
@attribute 109 numeric
@attribute 10998 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 123264 numeric
@attribute 1244 numeric
@attribute 1576 numeric
@attribute 1581 numeric
@attribute 196883 numeric
@attribute 200931 numeric
@attribute 2052 numeric
@attribute 23439 numeric
@attribute 2778 numeric
@attribute 28234 numeric
@attribute 3156 numeric
@attribute 343 numeric
@attribute 358 numeric
@attribute 361 numeric
@attribute 366 numeric
@attribute 3781 numeric
@attribute 3949 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 5243 numeric
@attribute 5244 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 570 numeric
@attribute 57552 numeric
@attribute 57835 numeric
@attribute 6256 numeric
@attribute 6344 numeric
@attribute 64240 numeric
@attribute 64241 numeric
@attribute 6513 numeric
@attribute 6522 numeric
@attribute 6523 numeric
@attribute 6548 numeric
@attribute 6550 numeric
@attribute 6554 numeric
@attribute 6555 numeric
@attribute 6579 numeric
@attribute 6580 numeric
@attribute 6822 numeric
@attribute 7363 numeric
@attribute 760 numeric
@attribute 8431 numeric
@attribute 8647 numeric
@attribute 8671 numeric
@attribute 8714 numeric
@attribute 9376 numeric
@attribute 9429 numeric
@attribute 949 numeric
@attribute 9971 numeric
@attribute Class {Control,BRCA}

@data
GSM427170,5.8314812885,5.104709621,6.45574924,7.091120961,6.113175002,5.23553019833,12.17610621,8.053302965,6.551751032,10.29987056,7.499250204,6.134894093,8.179201405,5.449405582,5.312711681,5.083225336,6.086619917,10.90371263,5.465983644,10.77384001,4.911345545,8.86041017833,5.091711732,10.25814822,5.079816751,8.136664089,5.7781679185,7.315967216,5.2594195085,10.18422484,11.66834406,7.819701908,5.8736971,5.6100631305,10.45793763,9.282845833,7.6843879584,5.75134621775,7.595997959,5.880937246,6.5859397695,5.0578073466,6.287994543,8.521216589,5.011910695,7.5000272825,7.10805440733,12.34109771,6.528419434,7.200778784,5.287261033,8.421603203,9.701844069,8.489648422,11.04264453,5.941758505,4.946977895,5.287261033,5.6395278026,5.7521893965,4.823254203,5.729465955,8.7024416265,4.649498512,5.97637008,5.1898993435,7.903924232,4.96556642,5.530766234,10.42312146,5.876646629,BRCA
GSM427171,8.296496552,5.6783286315,6.928720816,7.103762836,5.858112355,5.37950939067,12.72821502,7.673046,5.868767777,9.8796694575,7.346604868,6.137304345,8.316509092,4.977292804,7.152059483,4.32324994,5.451879748,10.62174996,5.783071078,9.800868007,5.382071697,9.172881566,5.20340796,11.08484843,4.971556485,9.3264955365,5.5853869995,6.300952509,5.343615603,11.33349936,12.04524015,9.77172101,6.151834088,5.584965896,11.30856091,9.088311981,7.9574093308,5.4767225275,8.915500147,5.878732237,6.027160675,5.3421536938,5.822227442,8.191637632,4.977292804,8.6135160725,6.95491858467,11.74803988,5.873820117,6.254089095,5.37574431,9.886283826,8.107192387,8.219968468,11.538548,6.098459168,5.091923254,4.805564985,5.337664602,5.773738347,5.401230463,5.7741947575,9.4840886445,5.321036278,5.582714993,6.0232776435,7.842402382,5.40889121,6.786077228,10.47331538,6.310935931,Control
GSM427172,6.406892331,5.341986333,6.6365159435,7.148098063,5.724657944,5.48815922,12.31128435,7.8694722,6.993564335,10.337719898,7.516962875,6.679413681,8.597597398,4.78399527,5.676811285,5.346257748,5.457225929,10.76919343,5.358089615,10.38358581,4.849513012,8.796592193,5.113545539,10.24482795,5.45451419,9.245754553,5.3652602745,6.317553371,5.781536997,11.34542758,11.6217527633,8.778603769,6.469890553,5.0853848005,11.2772303167,9.278752093,7.9878450618,5.48068620525,7.616995674,5.733565339,6.4244788405,5.4913025734,5.416511492,8.1047122775,5.602298936,8.0053449195,6.913251114,12.29564706,5.937527571,6.63379854,5.057679059,9.442757511,8.722390135,8.590840692,11.62848212,5.51578754,4.79000478,4.966489589,5.291147926,5.9247473035,4.575400801,5.5181136965,9.556057553,5.316336975,5.637792259,6.2806176105,7.871263686,4.769786816,5.980831476,10.91242928,5.463043053,Control
GSM427178,6.084433007,5.4488891775,7.5681815995,6.757360421,5.815070224,5.28272969,12.08630553,7.789437666,6.859476161,10.5431463085,7.537142914,5.930152602,9.210044899,5.206341637,5.751417692,5.172738766,5.507962085,12.10567621,5.852942206,9.686457248,4.756504979,8.711268495,4.828595108,10.59878323,5.748602952,9.202310231,6.031711004,6.379643161,5.841867767,12.21756405,12.4328424233,6.887498235,6.575694758,6.257402161,11.218616671,8.714658623,7.0894307086,5.595822893,8.894456791,5.36790503,6.619283011,5.4387987878,5.237842121,9.115932728,4.933113756,7.708895696,7.01915335433,12.02662382,5.641698649,6.608369881,5.021270114,10.45321433,9.360694098,8.829691919,12.06042414,5.201056716,5.089171051,4.764223297,5.490384506,6.049116716,4.458724733,5.5523504485,8.4750678465,5.438302209,5.309259193,5.770626481,8.7480356005,5.62600922,6.225550292,11.22643043,4.872103847,BRCA
GSM427181,6.2737163825,5.308063998,8.248473233,6.790319577,6.21830228,5.40075868133,12.52742331,7.378037131,6.528184984,10.581626049,7.828646059,5.826428522,8.774277353,5.332807495,6.221302541,4.981066318,5.461570507,10.84257057,5.884360575,9.37294183,5.569484446,9.207844615,4.461934912,11.47712595,5.23994335,9.5140213595,6.141837295,6.807100898,5.6370999675,11.64198185,11.9507093633,5.39352882,6.368031123,5.6200932275,11.3597607767,8.357740164,7.322166587,5.12013790425,8.5438248365,5.636197729,6.1288615465,5.8117429202,5.913135501,9.223319527,5.586322838,7.4897833755,6.70867334533,11.1794428,6.248312457,6.492819078,5.425938643,9.296882447,8.760105424,9.495905543,12.28023003,5.775321383,4.952579644,4.917683858,5.8127020372,6.375006584,4.966374225,5.384625629,10.626510165,4.693784032,5.069757204,5.8128305935,7.711191308,4.952579644,7.338605197,11.01901053,4.742830384,BRCA
GSM427182,6.7012923695,5.3259828865,7.7603213985,7.210990588,5.851131391,5.23543073867,11.98243759,8.28259169,6.908335947,9.8093092945,7.272725709,5.809164401,9.115954722,5.65306808,6.440292493,4.816870089,5.579701547,10.00516175,6.284944946,9.644505763,5.074902758,8.61201467833,4.909306588,10.97440404,5.596049021,8.6436021955,5.8836862575,6.399688614,5.942794581,11.28537059,12.04236405,6.425472417,6.09149423,6.2913648945,11.5555045387,8.891541557,6.8611236482,5.63184775375,8.7080839705,5.43205013,6.5537420015,5.3283454926,5.754627826,8.596734373,4.518505219,7.809296719,6.83567268867,12.0344036,5.647898183,6.657501119,5.368428976,9.92732654,9.025562565,9.452633076,12.18956987,5.638878429,5.02526278,5.123512303,5.2549399508,5.8241256725,5.21345543,5.256080676,8.3731808305,5.01168711,5.561792943,6.1777170685,8.2752796725,4.863456876,6.90394547,10.38197038,5.258529523,BRCA
GSM427183,6.0861265625,5.2786936645,8.9607456695,6.696275996,6.383536364,5.48759124667,11.37035382,8.153857416,6.506728574,10.2967908845,6.904728314,5.495384375,9.223803305,5.341284192,5.692518737,5.666764579,5.744774144,10.70640129,5.893611729,9.921350458,5.077041333,8.82288182267,5.425938643,10.74402254,5.706538322,8.5427164585,5.8761793705,5.994133479,5.843290331,11.96720294,12.2801851067,6.053334703,5.942814302,5.9229246365,11.30625711,9.02738156,6.865177778,5.39462846875,8.5231236435,5.139767484,6.61609541,5.4065428568,5.634165776,8.4342113255,5.077041333,7.889938326,7.03980867867,12.06390576,6.115985842,7.087465825,5.337899487,10.69010738,9.152627806,9.226202111,11.75528414,5.38008113,4.99911072,4.979809576,5.6692553992,6.223674876,5.272033689,5.555276293,12.50335564,5.31868854,5.414821571,6.4562429415,8.16052831,4.898705674,6.358875883,10.81469083,5.497860816,BRCA
GSM427187,6.275478091,5.2220729085,8.247227253,6.830360313,6.452822423,5.35930607633,12.05450776,8.602996767,6.567237875,10.2833042595,7.245317684,5.626885346,8.75759096,5.559500416,5.213649836,5.391639926,5.334685584,10.12880025,5.420727655,9.970178212,5.109581261,9.12620744833,5.090018442,11.04825205,4.734319168,8.6383984345,5.8959781705,6.327243301,5.9355871055,12.05342543,12.2207445933,6.907675223,6.442492064,5.6212629585,10.474957662,9.151613494,7.0036304332,5.68218173225,8.5133574605,5.452209317,6.6313943815,5.5295343186,5.620154746,9.083914411,4.931459981,7.5323941305,6.58131555667,11.62609927,5.929797653,6.914029647,5.149758548,10.22045122,8.890272733,9.470273049,12.05538931,5.807812937,4.991874681,5.346612346,6.0184162604,5.9273836175,4.969831133,5.0699161965,9.451807344,4.795729695,5.127954352,5.8358414595,7.6317198585,5.330389211,6.739109305,11.07588374,5.559500416,BRCA
GSM427189,6.129620643,5.3910825315,9.5775018565,6.904427271,6.699819243,4.80547626967,11.82446468,8.47891229,6.427820369,10.2474442945,7.331949525,5.584068992,9.221769032,5.095725349,5.75422695,5.499376536,5.888750097,10.77554879,5.644873832,10.3180516,4.674989884,9.14021016267,4.488522104,10.63715491,5.357737827,9.280607444,5.6332188985,6.359403118,5.9221290765,11.12295109,12.3922982933,6.204870044,6.088635217,5.523099184,10.95210528,8.902843217,7.003788491,5.60282398025,8.3403460425,5.774135558,6.8628717035,5.4814391052,5.341284192,8.888639558,5.456322582,7.760617615,6.39463328167,11.68152186,6.33289195,7.122623868,5.124960054,10.03270048,9.354090183,9.613983311,11.55392216,5.601407747,4.226628493,4.800785121,6.0566946712,6.0203187515,5.460587974,5.380945835,11.89811934,4.971786376,5.394558084,5.436440788,7.4997982675,5.10140977,6.721034659,11.44994835,4.916251205,BRCA
GSM427193,5.46138273,5.748064128,6.364286878,7.048353701,5.823692844,5.699914606,8.501728854,8.992655946,7.081832585,10.35590611,8.493075988,5.980260273,9.31063614,4.817893448,6.026750963,5.377654117,4.941119518,12.03158587,5.577739426,10.17351822,5.20184089,8.17602958933,4.904256777,8.431498779,5.002940155,9.725057205,5.5371061205,6.939993819,5.1587158325,9.670320374,11.3822101803,6.918031734,7.527987381,5.4083628385,9.95170859933,9.845502253,6.7185464612,5.2951767505,7.7133562295,5.980260273,6.2169798845,5.1210123436,6.445516183,8.5131320015,4.586234078,7.855950184,6.693406186,12.60628034,6.420007038,6.627136678,5.567280188,10.67176022,8.360530123,10.26097865,12.54548466,4.85575461,4.162385722,5.279110251,5.0576149536,6.6504363545,4.671880991,5.675354702,7.47269696,5.027033758,5.901899413,5.5941412275,9.1710371135,5.123512303,6.104971499,10.73844933,6.089482923,BRCA
